Reaction_ID;Deafult_name;Mod_name;Notes
DAxtO;Uptake of deoxyadenosine;2-deoxyadenosine;
DGxtO;Uptake of deoxyguanosine;2-deoxyguanosine;
DINxtO;Uptake of deoxyinosine;2-deoxyinosine;
DUxtO;Uptake of deoxyuridine;2-deoxyuridine;
AKGxtO;Uptake of 2-oxoglutarate;2-oxoglutarate;
GABAxtO;Uptake of gamma-aminobutyrate;4-aminobutyrate;
DANNAxtO;Uptake of 7,8-diaminononanoate;7,8-diaminononanoate;
AONAxtO;Uptake of 8-amino-7-oxononanoate;8-amino-7-oxononanoate;
ACALxtO;Uptake of acetaldehyde;acetaldehyde;
ACxtO;Uptake of acetate;acetate;
ADxtO;Uptake of adenine;adenine;
ADNxtO;Uptake of adenosine;adenosine;
PAPxtO;Uptake of adenosine 3',5'-bisphosphate;adenosine 3,5-biphosphate;
ALAxtO;Uptake of L-alanine;alanine;
ATNxtO;Uptake of allantoin;allantoin;
GLCxtO;Uptake of alpha-D-glucose;glucose;SGD nomenclature
GLCxtO;Uptake of alpha-D-glucose;alpha-D-glucose;no drain in Y6,Y7 and iMM
NH3xtO;Uptake of NH3;ammonium;
ARGxtO;Uptake of L-arginine;arginine;
ASNxtO;Uptake of L-asparagine;asparagine;
ASPxtO;Uptake of L-aspartate;aspartate;
FUCxtO;Uptake of beta-D-fucose;beta-D-fucose;not present in Y6,Y7 and iMM
BMxtO;Uptake of biomass;biomass;
BTxtO;Uptake of biotin;biotin;
CO2xtO;Uptake of CO2;carbon dioxide;
CHOxtO;Uptake of choline;choline;
CITxtO;Uptake of citrate;citrate;
CYSxtO;Uptake of L-cysteine;cysteine;
CYTDxtO;Uptake of cytidine;cytidine;
CYTSxtO;Uptake of cytosine;cytosine;
ARABxtO;Uptake of D-arabinose;D-arabinose;
GA6PxtO;Uptake of D-glucosamine 6-phosphate;D-glucosamine-6-phosp;
DCxtO;Uptake of deoxycytidine;deoxycytidine;
DIPEPxtO;Uptake of dipeptide;dipeptide;not present in Y6,Y7 and iMM
DTTPxtO;Uptake of dTTP;dTTP;
ERGOxtO;Uptake of ergosterol;ergosterol;
ETHxtO;Uptake of ethanol;ethanol;
FORxtO;Uptake of formate;formate;
FRUxtO;Uptake of D-fructose;fructose;
FUMxtO;Uptake of fumarate;fumarate;
GLACxtO;Uptake of D-galactose;galactose;
GLAMxtO;Uptake of glucosamine;glucosamine;
GLUxtO;Uptake of L-glutamate;glutamate;
GLNxtO;Uptake of L-glutamine;glutamine;
OGTxtO;Uptake of oxidized glutathione;glutathione disulfide;
GLxtO;Uptake of glycerol;glycerol;
GLYxtO;Uptake of glycine;glycine;
GLALxtO;Uptake of glycolaldehyde;glycolaldehyde;
GNxtO;Uptake of guanine;guanine;
GSNxtO;Uptake of guanosine;guanosine;
HISxtO;Uptake of L-histidine;histidine;
HYXNxtO;Uptake of hypoxanthine;hypoxanthine;
INSxtO;Uptake of inosine;inosine;
ILExtO;Uptake of L-isoleucine;isoleucine;
GLTxtO;Uptake of L-glucitol;L-glucitol;
LEUxtO;Uptake of L-leucine;leucine;
LYSxtO;Uptake of L-lysine;lysine;
MALxtO;Uptake of malate;malate;
MLTxtO;Uptake of maltose;maltose;
MNTxtO;Uptake of D-mannitol;mannitol;no drain in Y6,Y7 and iMM
MANxtO;Uptake of alpha-D-mannose;mannose;
MELIxtO;Uptake of melibiose;melibiose;
MTHNxtO;Uptake of methane;methane;
METxtO;Uptake of L-methionine;methionine;
MIxtO;Uptake of myo-inositol;myo-inositol;
C140xtO;Uptake of myristic acid;myristate;
NMNxtO;Uptake of nicotinamide mononucleotide;nicotinamide mononucleotide;not present in Y6,Y7 and iMM
OPEPxtO;Uptake of oligopeptide;oligopeptide;
ORNxtO;Uptake of L-ornithine;ornithine;
O2xtO;Uptake of oxygen;oxygen;
C160xtO;Uptake of palmitic acid;palmitate;
PNTOxtO;Uptake of (R)-pantothenate;pantothenate;
PEPTxtO;Uptake of peptide;peptide;
PHExtO;Uptake of L-phenylalanine;phenylalanine;
PIxtO;Uptake of phosphate;phosphate;
PIMExtO;Uptake of pimelic acid;pimelate;
KxtO;Uptake of potassium;potassium;
PROxtO;Uptake of L-proline;proline;
