Reaction_ID;Deafult_name;Mod_name;Notes
EX_13BDglcn_e_;R_1_3_beta_D_Glucan_exchange;1-3-beta-D-glucan;
EX_dad_2_e_;R_Deoxyadenosine_exchange;2-deoxyadenosine;
EX_dgsn_e_;R_Deoxyguanosine_exchange;2-deoxyguanosine;
EX_din_e_;R_Deoxyinosine_exchange;2-deoxyinosine;
EX_duri_e_;R_Deoxyuridine_exchange;2-deoxyuridine;
EX_2hb_e_;R_2_Hydroxybutyrate_exchange;2-hydroxybutirate;
EX_2mbald_e_;R_2_methylbutyraldehyde_exchange;2-methylbutanal;
EX_2mbtoh_e_;R_2_methyl_1_butanol_exchange;2-methylbutanol;
EX_2mbac_e_;R_2_methylbutyl_acetate_exchange;2-methylbutyl acetate;
EX_akg_e_;R_2_Oxoglutarate_exchange;2-oxoglutarate;
EX_2phetoh_e_;R_2_phenylethanol_exchange;2-phenylethanol;
EX_btd_RR_e_;R__R_R__2_3_Butanediol_exchange;2,3-butanediol;
EX_3c3hmp_e_;R_3_Carboxy_3_hydroxy_4_methylpentanoate_exchange;3-Carboxy-3-hydroxy-4-methylpentanoate;
EX_3mop_e_;R_3mop_exchange;3-methyl-2-oxopentanoate;
EX_3mbald_e_;R_3_Methylbutanal_exchange;3-methylbutanal;
EX_4abz_e_;R_4_Aminobenzoate_exchange;4-aminobenzoate;
EX_4abut_e_;R_4_Aminobutanoate_exchange;4-aminobutyrate;
EX_5aop_e_;R_5_Amino_4_oxopentanoate_exchange;5-aminolevulinate;
EX_dann_e_;R_7_8_Diaminononanoate_exchange;7,8-diaminononanoate;
EX_8aonn_e_;R_8_Amino_7_oxononanoate_exchange;8-amino-7-oxononanoate;
EX_acald_e_;R_Acetaldehyde_exchange;acetaldehyde;
EX_ac_e_;R_Acetate_exchange;acetate;
EX_ade_e_;R_Adenine_exchange;adenine;
EX_adn_e_;R_Adenosine_exchange;adenosine;
EX_pap_e_;R_Adenosine_3__5__bisphosphate_exchange;adenosine 3,5-biphosphate;
EX_ala_L_e_;R_L_Alanine_exchange;alanine;
EX_alltt_e_;R_Allantoate_exchange;allantoate;
EX_alltn_e_;R_Allantoin_exchange;allantoin;
EX_nh4_e_;R_Ammonia_exchange;ammonium;(ammonium in Yeast76
