Gene [Systematic Name];Gene [Standard Name];ORF qualifier;Phenotypes > Observable;Experiment Type;Experiment Type Category;Mutant information;Strain Background;Strain Backgr (specific);Chemical;Chemical (drain);Carbon source;Medium;Special Condition (remove_genes);Special Condition (remove_metab);Special Condition (add_metab);Details;PubMed ID;Present in GSMM;Notes;PATHWAY;PATHWAY [subclass]
YNR033W;ABZ1;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;4-aminobenzoic acid;4-aminobenzoate;glucose;YNBD;;;;;8346682;Y;;Folate metabolism;Metabolism of cofactors and vitamins
YMR289W;ABZ2;Verified;auxotrophy;systematic mutation set;large-scale survey;null;S288C;BY4742;folic acid;folic acid;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;;17873082;Y;;Folate metabolism;Metabolism of cofactors and vitamins
YMR289W;ABZ2;Verified;auxotrophy;systematic mutation set;large-scale survey;null;S288C;BY4742;4-aminobenzoic acid;4-aminobenzoate;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;;17873082;Y;;Folate metabolism;Metabolism of cofactors and vitamins
YLR304C;ACO1;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;;glutamic acid;glutamate;glucose;YPD;;;;;15692048;Y;;TCA cycle;Carbohydrate metabolism
YAR015W;ADE1;Verified;auxotrophy;classical genetics;classical genetics;null;W303;;adenine;adenine;glucose;YPD;;;;;12740435;Y;;Purine metabolism;Nucleotide metabolism
YNL220W;ADE12;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;adenine;adenine;glucose;YNBD;;;histidine, leucine, lysine, tryptophan, uracil;;5807803;Y;;Purine metabolism;Nucleotide metabolism
YLR359W;ADE13;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;adenine;adenine;glucose;YNBD;;;histidine, leucine, lysine, tryptophan, uracil;;5807803;Y;;Purine metabolism;Nucleotide metabolism
YOR128C;ADE2;Verified;auxotrophy;classical genetics;classical genetics;null;W303;;adenine;adenine;glucose;YPD;;;;;12740435;Y;;Purine metabolism;Nucleotide metabolism
YMR300C;ADE4;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;;adenine;adenine;glucose;YPD;;;;;12740435;Y;;Purine metabolism;Nucleotide metabolism
YGL234W;ADE5,7;Verified;auxotrophy;classical genetics;classical genetics;null;W303;;adenine;adenine;glucose;YPD;;;;;12740435;Y;;Purine metabolism;Nucleotide metabolism
YGR061C;ADE6;Verified;auxotrophy;classical genetics;classical genetics;null;W303;;adenine;adenine;glucose;YPD;;;;;12740435;Y;;Purine metabolism;Nucleotide metabolism
YDR408C;ADE8;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;;adenine;adenine;glucose;YPD;;;;;12740435;Y;;Purine metabolism;Nucleotide metabolism
YDR226W;ADK1;Verified;auxotrophy;homozygous diploid, systematic mutation set;large-scale survey;null;S288C;BY4743;myo-inositol;myo-inositol;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;methionine, arginine, adenine, leucine, histidine, lysine, tryptophan, uracil, choline;S- no visible growth on I−C+ media (at any T);21136082;Y;;Purine metabolism;Nucleotide metabolism
