Gene [Systematic Name];Gene [Standard Name];ORF Qualifier;Gene Description;Mutant Type;Phenotypes > Observable;Qualifier;Strain Background;Chemical;Drain Info;Carbon source;Medium;Special Condition (remove_genes);Special Condition (remove_metab);Special Condition (add_metab);Condition;Details;PubMed ID;Culture type
YAL012W;CYS3;Verified;CYStathionine gamma-lyase;null;Chemical compound accumulation;decreased;S288C;H+;;glucose;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;external pH 5.0;;23021432;
YAL022C;FUN26;Verified;Function Unknown Now;null;Chemical compound accumulation;decreased;S288C(BY4742);NAD(+);no drain;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;nicotinic acid free medium supplemented with nicotinamide riboside;reduction in the nicotinamide riboside induced increase in NAD+ (36%);18258590;
YAL022C;FUN26;Verified;Function Unknown Now;null;Chemical compound accumulation;increased;S288C(BY4743);ribosylnicotinamide;no drain (cit);glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine;;;21349851;
YAL022C;FUN26;Verified;Function Unknown Now;null;Chemical compound accumulation;decreased;S288C;H+;;glucose;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;external pH 3.0;;23021432;
YAL022C;FUN26;Verified;Function Unknown Now;null;Chemical compound accumulation;decreased;S288C;H+;;glucose;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;external pH 5.0;;23021432;
YAL044C;GCV3;Verified;GlyCine cleaVage;null;Chemical compound accumulation;decreased;S288C;H+;;glucose;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;external pH 5.0;;23021432;
YAL060W;BDH1;Verified;Butanediol DeHydrogenase;null;Chemical compound accumulation;increased;S288C;acetoin;no drain;galactose;YPD;;glucose;;;;10938079;
YAL060W;BDH1;Verified;Butanediol DeHydrogenase;null;Chemical compound accumulation;decreased;S288C;2,3-butanediol;;galactose;YPD;;glucose;;;;10938079;grown at 30 °C in synthetic complete medium lactriyourairl supplemented with 2% galactose to allow for the selection and induction of the yeast transformed with the pYes2 constructs.
YAR015W;ADE1;Verified;ADEnine requiring;null;Chemical compound accumulation;increased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YAR015W;ADE1;Verified;ADEnine requiring;null;Chemical compound accumulation;decreased;S288C (BY4742);hydrogen sulfide;no drain (cit);glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine, cysteine;cysteine supplementation (500 mg/L);;25517415;
YBL045C;COR1;Verified;CORe protein of QH2 cytochrome c reductase;null;Chemical compound accumulation;decreased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YBL045C;COR1;Verified;CORe protein of QH2 cytochrome c reductase;null;Chemical compound accumulation;decreased;S288C;H+;;glucose;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;external pH 5.0;;23021432;
YBL045C;COR1;Verified;CORe protein of QH2 cytochrome c reductase;null;Chemical compound accumulation;increased;S288C;H+;;ethanol, glycerol;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;nonfermentable carbon source (ethanol/glycerol);;23021432;
YBL099W;ATP1;Verified;ATP synthase;null;Chemical compound accumulation;decreased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YBL099W;ATP1;Verified;ATP synthase;null;Chemical compound accumulation;decreased;S288C;H+;;glucose;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;external pH 3.0;;23021432;
YBL099W;ATP1;Verified;ATP synthase;null;Chemical compound accumulation;decreased;S288C;H+;;glucose;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;external pH 5.0;;23021432;
YBL099W;ATP1;Verified;ATP synthase;null;Chemical compound accumulation;decreased;S288C;H+;;glucose;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;external pH 7.5;;23021432;
YBL099W;ATP1;Verified;ATP synthase;null;Chemical compound accumulation;decreased;S288C;H+;;ethanol, glycerol;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;nonfermentable carbon source (ethanol/glycerol);;23021432;
YBR021W;FUR4;Verified;5-FlUoRouridine sensitivity;null;Chemical compound accumulation;decreased;S288C (BY4742);hydrogen sulfide;no drain (cit);glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine, cysteine;cysteine supplementation (500 mg/L);;25517415;
YBR026C;ETR1;Verified;2-Enoyl Thioester Reductase;null;Chemical compound accumulation;decreased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YBR029C;CDS1;Verified;CDP-Diacylglycerol Synthase;null;Chemical compound accumulation;increased;S288C(BY4741);triglyceride;no drain (cit);glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W;;alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine, uracil;;levels of triacylglycerol, a storage neutral lipid, are increased;21829381;
YBR034C;HMT1;Verified;HnRNP MethylTransferase;null;Chemical compound accumulation;decreased;S288C (BY4741);sodium;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;;histidine, leucine, methionine, uracil;;;23151179;
YBR035C;PDX3;Verified;PyriDoXine auxotrophy;null;Chemical compound accumulation;increased;S288C;H+;;glucose;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;external pH 3.0;;23021432;
YBR035C;PDX3;Verified;PyriDoXine auxotrophy;null;Chemical compound accumulation;increased;S288C;H+;;glucose;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;external pH 5.0;;23021432;
YBR035C;PDX3;Verified;PyriDoXine auxotrophy;null;Chemical compound accumulation;increased;S288C;H+;;glucose;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;external pH 7.5;;23021432;
YBR036C;CSG2;Verified;Calcium Sensitive Growth;null;Chemical compound accumulation;decreased;S288C (BY4742);hydrogen sulfide;no drain (cit);glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine, cysteine;cysteine supplementation (500 mg/L);;25517415;
YBR042C;CST26;Verified;Chromosome STability;null;Chemical compound accumulation;increased;S288C(BY4742);triglyceride;no drain (cit);glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;;percentage of neutral lipid, triacylglycerol, is slightly elevated relative to wildtype;19796168;
YBR092C;PHO3;Verified;PHOsphate metabolism;null;Chemical compound accumulation;increased;S288C (BY4742);hydrogen sulfide;no drain (cit);glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine, cysteine;cysteine supplementation (500 mg/L);;25517415;
