Gene [Systematic Name];Gene [Standard Name];ORF Qualifier;Gene Description;Mutant Type;Phenotypes > Observable;Qualifier;Strain Background;Chemical;Drain Info;Carbon source;Medium;Special Condition (remove_genes);Special Condition (remove_metab);Special Condition (add_metab);Condition;Details;PubMed ID;Culture type
YAL022C;FUN26;Verified;Function Unknown Now;null;Chemical compound excretion;increased;S288C;ribosylnicotinamide;no drain (cit);glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine;;;21349851;
YAL022C;FUN26;Verified;Function Unknown Now;null;Chemical compound excretion;increased;S288C(BY4742);myo-inositol;;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;myo-inositol;methionine, arginine, adenine, leucine, histidine, lysine, tryptophan, uracil;synthetic medium lacking inositol and choline;"Opi- phenotype; overproduction and excretion of inositol in the absence of inositol and choline";16582425;
YAR015W;ADE1;Verified;ADEnine requiring;null;Chemical compound excretion;increased;S288C (BY4743);myo-inositol;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine;;;25362059;
YBR003W;COQ1;Verified;COenzyme Q;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YBR029C;CDS1;Verified;CDP-Diacylglycerol Synthase;null;Chemical compound excretion;increased;S288C (BY4742);myo-inositol;;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;Opi- phenotype (overproduction and excretion of inositol in the absence of inositol and choline);;8910557+24558266;
YBR036C;CSG2;Verified;Calcium Sensitive Growth;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YBR041W;FAT1;Verified;FATty acid transporter;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YBR126C;TPS1;Verified;Trehalose-6-Phosphate Synthase;null;Chemical compound excretion;increased;S288C(BY4742);myo-inositol;;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;myo-inositol;methionine, arginine, adenine, leucine, histidine, lysine, tryptophan, uracil;synthetic medium lacking inositol and choline;"Opi- phenotype; overproduction and excretion of inositol in the absence of inositol and choline";16582425;
YBR127C;VMA2;Verified;Vacuolar Membrane Atpase;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YDR017C;KCS1;Verified;pKC1 Suppressor;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YDR178W;SDH4;Verified;Succinate DeHydrogenase;null;Chemical compound excretion;increased;S288C;acetate;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine;Plates+shake flasks;;15659672;
YDR204W;COQ4;Verified;COenzyme Q;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
