Gene [Systematic Name];Gene [Standard Name];ORF Qualifier;Gene Description;Mutant Type;Phenotypes > Observable;Qualifier;Strain Background;Chemical;Drain Info;Carbon source;Medium;Special Condition (remove_genes);Special Condition (remove_metab);Special Condition (add_metab);Condition;Details;PubMed ID;Culture type;PATHWAY;PATHWAY [subclass]
YAL012W;CYS3;Verified;CYStathionine gamma-lyase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Cysteine and methionine metabolism;Amino acid metabolism
YAL014C;SYN8;Verified;SYNtaxin;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other;Other
YAL022C;FUN26;Verified;Function Unknown Now;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YAL023C;PMT2;Verified;Protein O-MannosylTransferase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycan biosynthesis;Glycan biosynthesis and metabolism
YAL030W;SNC1;Verified;Suppressor of the Null allele of CAP;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other;Other
YAL038W;CDC19;Verified;Cell Division Cycle;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycolysis / Gluconeogenesis;Carbohydrate metabolism
YAL044C;GCV3;Verified;GlyCine cleaVage;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Folate metabolism;Metabolism of cofactors and vitamins
YAL054C;ACS1;Verified;Acetyl CoA Synthetase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Pyruvate metabolism;Carbohydrate metabolism
YAL060W;BDH1;Verified;Butanediol DeHydrogenase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Butanoate metabolism;Carbohydrate metabolism
YAL062W;GDH3;Verified;Glutamate DeHydrogenase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glutamate metabolism;Amino acid metabolism
YAR015W;ADE1;Verified;ADEnine requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Purine metabolism;Nucleotide metabolism
YAR035W;YAT1;Verified;Undefined;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Fatty acid metabolism;Lipid metabolism
YAR042W;SWH1;Verified;Undefined;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YAR073W;IMD1;Dubious;IMP Dehydrogenase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12746440;Undefined;Purine metabolism;Nucleotide metabolism
YBL011W;SCT1;Verified;Suppressor of Choline-Transport mutants;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycerophospholipid metabolism;Lipid metabolism
YBL013W;FMT1;Verified;Formyl-Methionyl-tRNA Transformylase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Folate metabolism;Metabolism of cofactors and vitamins
YBL015W;ACH1;Verified;Acetyl CoA Hydrolase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Pyruvate metabolism;Carbohydrate metabolism
YBL030C;PET9;Verified;PETite;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YBL033C;RIB1;Verified;RIBoflavin biosynthesis;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Riboflavin, FMN and FAD metabolism;Metabolism of cofactors and vitamins
YBL039C;URA7;Verified;URAcil requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Pyrimidine metabolism;Nucleotide metabolism
YBL042C;FUI1;Verified;5-FlUorourIdine resistance;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YBL045C;COR1;Verified;CORe protein of QH2 cytochrome c reductase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Oxidative phosphorylation;Energy metabolism
YBL064C;PRX1;Verified;PeroxiRedoXin;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other;Other
YBL068W;PRS4;Verified;PhosphoRibosylpyrophosphate Synthetase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Histidine metabolism;Amino acid metabolism
