Gene [Systematic Name];Gene [Standard Name];ORF Qualifier;Gene Description;Mutant Type;Phenotypes > Observable;Qualifier;Strain Background;Chemical;Drain Info;Carbon source;Medium;Special Condition (remove_genes);Special Condition (remove_metab);Special Condition (add_metab);Condition;Details;PubMed ID;Culture type
YBL033C;RIB1;Verified;RIBoflavin biosynthesis;null;Fermentative growth;decreased rate;S288C (BY4742);;;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;YPD or minimal media (supplm with sterols and fatty acids, ergst and cholesterol);;16251356;colony forming - plates
YBL099W;ATP1;Verified;ATP synthase;null;Fermentative growth;decreased rate;S288C (BY4742);;;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;YPD or minimal media (supplm with sterols and fatty acids, ergst and cholesterol);;16251356;colony forming - plates
YBR039W;ATP3;Verified;ATP synthase;null;Fermentative growth;decreased rate;S288C (BY4742);;;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;YPD or minimal media (supplm with sterols and fatty acids, ergst and cholesterol);;16251356;colony forming - plates
YBR069C;TAT1;Verified;Tyrosine and tryptophan Amino acid Transporter;null;Fermentative growth;decreased rate;S288C;;;glucose;YPD;;;;;;12134146;
YBR126C;TPS1;Verified;Trehalose-6-Phosphate Synthase;null;Fermentative growth;decreased rate;S288C;;;glucose;YPD;;;;;;12134146;
YDL090C;RAM1;Verified;RAS protein and A-factor Maturation;null;Fermentative growth;decreased rate;S288C;;;glucose;YPD;;;;;;12134146;
YDR017C;KCS1;Verified;pKC1 Suppressor;null;Fermentative growth;decreased rate;S288C;;;glucose;YPD;;;;;;12134146;
YDR074W;TPS2;Verified;Trehalose-6-Phosphate Synthase/phosphatase;null;Fermentative growth;decreased rate;S288C;;;glucose;YPD;;;;;;12134146;
YDR173C;ARG82;Verified;ARGinine requiring;null;Fermentative growth;decreased rate;S288C;;;glucose;YPD;;;;;;12134146;
YDR232W;HEM1;Verified;HEMe biosynthesis;null;Fermentative growth;decreased rate;S288C (BY4742);;;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;YPD or minimal media (supplm with sterols and fatty acids, ergst and cholesterol);;16251356;colony forming - plates
YDR264C;AKR1;Verified;AnKyrin Repeat containing;null;Fermentative growth;decreased rate;S288C;;;glucose;YPD;;;;YPD;;12134146;
YDR300C;PRO1;Verified;PROline requiring;null;Fermentative growth;decreased rate;S288C;;;glucose;YPD;;;;;;12134146;
YEL046C;GLY1;Verified;GLYcine requiring;null;Fermentative growth;decreased rate;S288C;;;glucose;YPD;;;;;;12134146;
YGL084C;GUP1;Verified;Glycerol UPtake;null;Fermentative growth;decreased rate;S288C (BY4742);;;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;YPD or minimal media (supplm with sterols and fatty acids, ergst and cholesterol);;16251356;colony forming - plates
YGL148W;ARO2;Verified;AROmatic amino acid requiring;null;Fermentative growth;decreased rate;S288C (BY4742);;;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;YPD or minimal media (supplm with sterols and fatty acids, ergst and cholesterol);;16251356;colony forming - plates
YGL253W;HXK2;Verified;HeXoKinase;null;Fermentative growth;decreased rate;S288C;;;glucose;YPD;;;;;;12134146;
YGR240C;PFK1;Verified;PhosphoFructoKinase;null;Fermentative growth;decreased rate;S288C;;;glucose;YPD;;;;;;12134146;
YHL011C;PRS3;Verified;PhosphoRibosylpyrophosphate Synthetase;null;Fermentative growth;decreased rate;S288C;;;glucose;YPD;;;;;;12134146;
YHR183W;GND1;Verified;6-phosphoGlucoNateDehydrogenase;null;Fermentative growth;decreased rate;S288C;;;glucose;YPD;;;;;;12134146;
YIL013C;PDR11;Verified;Pleiotropic Drug Resistance;null;Fermentative growth;decreased rate;S288C (BY4742);;;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;YPD or minimal media (supplm with sterols and fatty acids, ergst and cholesterol);;16251356;colony forming - plates
YJR105W;ADO1;Verified;ADenOsine kinase;null;Fermentative growth;decreased rate;S288C;;;glucose;YPD;;;;;;12134146;
YJR121W;ATP2;Verified;ATP synthase;null;Fermentative growth;decreased rate;S288C (BY4742);;;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;YPD or minimal media (supplm with sterols and fatty acids, ergst and cholesterol);;16251356;colony forming - plates
YJR139C;HOM6;Verified;HOMoserine requiring;null;Fermentative growth;decreased rate;S288C (BY4742);;;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;YPD or minimal media (supplm with sterols and fatty acids, ergst and cholesterol);;16251356;colony forming - plates
YLR240W;VPS34;Verified;Vacuolar Protein Sorting;null;Fermentative growth;decreased rate;S288C (BY4742);;;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;YPD or minimal media (supplm with sterols and fatty acids, ergst and cholesterol);;16251356;colony forming - plates
YLR304C;ACO1;Verified;ACOnitase;null;Fermentative growth;decreased rate;S288C (BY4742);;;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;YPD or minimal media (supplm with sterols and fatty acids, ergst and cholesterol);;16251356;colony forming - plates
YLR342W;FKS1;Verified;FK506 Sensitivity;null;Fermentative growth;decreased rate;S288C;;;glucose;YPD;;;;;;12134146;
YLR372W;ELO3;Verified;fatty acid ELOngation;null;Fermentative growth;decreased rate;S288C;;;glucose;YPD;;;;;;12134146;
YLR386W;VAC14;Verified;VACuole morphology and inheritance mutant;null;Fermentative growth;decreased rate;S288C;;;glucose;YPD;;;;;;12134146;
YML123C;PHO84;Verified;PHOsphate metabolism;null;Fermentative growth;decreased rate;S288C (BY4742);;;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;YPD or minimal media (supplm with sterols and fatty acids, ergst and cholesterol);;16251356;colony forming - plates
YMR205C;PFK2;Verified;PhosphoFructoKinase;null;Fermentative growth;decreased rate;S288C;;;glucose;YPD;;;;;;12134146;
YNR050C;LYS9;Verified;LYSine requiring;null;Fermentative growth;decreased rate;S288C;;;glucose;YPD;;;;;;12134146;
YOL086C;ADH1;Verified;Alcohol DeHydrogenase;null;Fermentative growth;decreased rate;S288C;;;glucose;YPD;;;;;;12134146+16251356;
YOL143C;RIB4;Verified;RIBoflavin biosynthesis;null;Fermentative growth;decreased rate;S288C (BY4742);;;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;YPD or minimal media (supplm with sterols and fatty acids, ergst and cholesterol);;16251356;colony forming - plates
YOR011W;AUS1;Verified;ABC protein involved in Uptake of Sterols;null;Fermentative growth;decreased rate;S288C (BY4742);;;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;YPD or minimal media (supplm with sterols and fatty acids, ergst and cholesterol);;16251356;colony forming - plates
YOR125C;CAT5;Verified;CATabolite repression;null;Fermentative growth;decreased rate;S288C (BY4742);;;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;YPD or minimal media (supplm with sterols and fatty acids, ergst and cholesterol);;16251356;colony forming - plates
YOR184W;SER1;Verified;SERine requiring;null;Fermentative growth;decreased rate;S288C (BY4742);;;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;YPD or minimal media (supplm with sterols and fatty acids, ergst and cholesterol);;16251356;colony forming - plates
YOR209C;NPT1;Verified;Nicotinate PhosphoribosylTransferase;null;Fermentative growth;decreased rate;S288C (BY4742);;;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;YPD or minimal media (supplm with sterols and fatty acids, ergst and cholesterol);;16251356;colony forming - plates
YPL061W;ALD6;Verified;ALdehyde Dehydrogenase;null;Fermentative growth;decreased rate;S288C;;;glucose;YPD;;;;;;12134146;
YPL268W;PLC1;Verified;PhosphoLipase C;null;Fermentative growth;decreased rate;S288C;;;glucose;YPD;;;;;;12134146;
YPR060C;ARO7;Verified;AROmatic amino acid requiring;null;Fermentative growth;decreased rate;S288C (BY4742);;;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;YPD or minimal media (supplm with sterols and fatty acids, ergst and cholesterol);;16251356;colony forming - plates
YPR159W;KRE6;Verified;Killer toxin REsistant;null;Fermentative growth;decreased rate;S288C;;;glucose;YPD;;;;;;12134146;
