Gene [Systematic Name];Gene [Standard Name];ORF Qualifier;Gene Description;Mutant Type;Phenotypes > Observable;Qualifier;Strain Background;Chemical;Drain Info;Carbon source;Medium;Special Condition (remove_genes);Special Condition (remove_metab);Special Condition (add_metab);Condition;Details;PubMed ID;Culture type
YGR138C;TPO2;Verified;Transporter of POlyamines;null;Nutrient uptake;decreased;S288C;spermine;;glucose;YNBD;;;arginine, methionine, tyrosine, isoleucine, phenylalanine, glutamate, aspartate, valine, threonine, serine, adenine, uracil, histidine, leucine, tryptophan;;;11171066;
YGR138C;TPO2;Verified;Transporter of POlyamines;null;Nutrient uptake;normal;S288C;spermidine;;glucose;YNBD;;;arginine, methionine, tyrosine, isoleucine, phenylalanine, glutamate, aspartate, valine, threonine, serine, adenine, uracil, histidine, leucine, tryptophan;;;11171066;
YHL016C;DUR3;Verified;Degradation of URea;null;Nutrient uptake;decreased;S288C;putrescine;;glucose;YNBD;;;arginine, methionine, tyrosine, isoleucine, phenylalanine, glutamate, aspartate, valine, threonine, serine, adenine, uracil, histidine, leucine, tryptophan;;;17218313;
YHL016C;DUR3;Verified;Degradation of URea;null;Nutrient uptake;decreased;S288C;spermidine;;glucose;YNBD;;;arginine, methionine, tyrosine, isoleucine, phenylalanine, glutamate, aspartate, valine, threonine, serine, adenine, uracil, histidine, leucine, tryptophan;;;17218313;
YLL028W;TPO1;Verified;Transporter of POlyamines;null;Nutrient uptake;decreased;S288C;spermidine;;glucose;YNBD;;;arginine, methionine, tyrosine, isoleucine, phenylalanine, glutamate, aspartate, valine, threonine, serine, adenine, uracil, histidine, leucine, tryptophan;;;11171066;
YLL028W;TPO1;Verified;Transporter of POlyamines;null;Nutrient uptake;normal;S288C;spermine;;glucose;YPD;;;;uptake activity of vacuolar membrane vesicles;;12562762+9920864;The cells were grown aerobically at 30 °C. Preparation of yeast-rich (YPD) and synthetic complete minimal media followed standard recipes
YLR237W;THI7;Verified;THIamine metabolism;null;Nutrient uptake;decreased;S288C;thiamine;;galactose;YNBD;;glucose;galactose;;;9235906+9358046;
YOR273C;TPO4;Verified;Transporter of POlyamines;null;Nutrient uptake;decreased;S288C;spermidine;;glucose;YNBD;;;arginine, methionine, tyrosine, isoleucine, phenylalanine, glutamate, aspartate, valine, threonine, serine, adenine, uracil, histidine, leucine, tryptophan;;;11171066;
YOR273C;TPO4;Verified;Transporter of POlyamines;null;Nutrient uptake;decreased;S288C;spermine;;glucose;YNBD;;;arginine, methionine, tyrosine, isoleucine, phenylalanine, glutamate, aspartate, valine, threonine, serine, adenine, uracil, histidine, leucine, tryptophan;;;11171066;
YPL274W;SAM3;Verified;S-AdenosylMethionine metabolism;null;Nutrient uptake;decreased;S288C;putrescine;;glucose;YNBD;;;arginine, methionine, tyrosine, isoleucine, phenylalanine, glutamate, aspartate, valine, threonine, serine, adenine, uracil, histidine, leucine, tryptophan;;;17218313;
YPL274W;SAM3;Verified;S-AdenosylMethionine metabolism;null;Nutrient uptake;decreased;S288C;spermidine;;glucose;YNBD;;;arginine, methionine, tyrosine, isoleucine, phenylalanine, glutamate, aspartate, valine, threonine, serine, adenine, uracil, histidine, leucine, tryptophan;;;17218313;
YPR156C;TPO3;Verified;Transporter of POlyamines;null;Nutrient uptake;decreased;S288C;spermine;;glucose;YNBD;;;arginine, methionine, tyrosine, isoleucine, phenylalanine, glutamate, aspartate, valine, threonine, serine, adenine, uracil, histidine, leucine, tryptophan;;;11171066;
YPR156C;TPO3;Verified;Transporter of POlyamines;null;Nutrient uptake;normal;S288C;spermidine;;glucose;YNBD;;;arginine, methionine, tyrosine, isoleucine, phenylalanine, glutamate, aspartate, valine, threonine, serine, adenine, uracil, histidine, leucine, tryptophan;;;11171066;
