Gene [Systematic Name];Gene [Standard Name];ORF Qualifier;Gene Description;Mutant Type;Phenotypes > Observable;Qualifier;Strain Background;Chemical;Drain Info;Carbon source;Medium;Special Condition (remove_genes);Special Condition (remove_metab);Special Condition (add_metab);Condition;Details;PubMed ID;Culture type
YAL022C;FUN26;Verified;Function Unknown Now;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);glutamine;;glucose;YNBD;;ammonium;glutamine;;;24721214;
YAL054C;ACS1;Verified;Acetyl CoA Synthetase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);arginine;;glucose;YNBD;;ammonium;arginine;;;24721214;
YAL054C;ACS1;Verified;Acetyl CoA Synthetase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);urea;;glucose;YNBD;;ammonium;urea;;;24721214;
YAR015W;ADE1;Verified;ADEnine requiring;null;Utilization of nitrogen source;absent;S288C(BY4742);allantoin;;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;ammonium;histidine, leucine, uracil, lysine, allantoin;cultured in minimal medium containing histidine, leucine, lysine and uracil;;16361226;
YBL013W;FMT1;Verified;Formyl-Methionyl-tRNA Transformylase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);ammonium;;glucose;YNBD;;;;;;24721214;
YBL045C;COR1;Verified;CORe protein of QH2 cytochrome c reductase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);allantoin;;glucose;YNBD;;ammonium;allantoin;;;24721214;
YBL045C;COR1;Verified;CORe protein of QH2 cytochrome c reductase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);ammonium;;glucose;YNBD;;;;;;24721214;
YBL045C;COR1;Verified;CORe protein of QH2 cytochrome c reductase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);arginine;;glucose;YNBD;;ammonium;arginine;;;24721214;
YBL045C;COR1;Verified;CORe protein of QH2 cytochrome c reductase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);glutamine;;glucose;YNBD;;ammonium;glutamine;;;24721214;
YBL045C;COR1;Verified;CORe protein of QH2 cytochrome c reductase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);proline;;glucose;YNBD;;ammonium;proline;;;24721214;
YBL045C;COR1;Verified;CORe protein of QH2 cytochrome c reductase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);urea;;glucose;YNBD;;ammonium;urea;;;24721214;
YBL099W;ATP1;Verified;ATP synthase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);allantoin;;glucose;YNBD;;ammonium;allantoin;;;24721214;
YBL099W;ATP1;Verified;ATP synthase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);glutamate;;glucose;YNBD;;ammonium;glutamate;;;24721214;
YBL099W;ATP1;Verified;ATP synthase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);proline;;glucose;YNBD;;ammonium;proline;;;24721214;
YBR003W;COQ1;Verified;COenzyme Q;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);allantoin;;glucose;YNBD;;ammonium;allantoin;;;24721214;
YBR003W;COQ1;Verified;COenzyme Q;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);ammonium;;glucose;YNBD;;;;;;24721214;
YBR003W;COQ1;Verified;COenzyme Q;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);glutamate;;glucose;YNBD;;ammonium;glutamate;;;24721214;
YBR003W;COQ1;Verified;COenzyme Q;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);proline;;glucose;YNBD;;ammonium;proline;;;24721214;
YBR019C;GAL10;Verified;GALactose metabolism;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);allantoin;;glucose;YNBD;;ammonium;allantoin;;;24721214;
YBR023C;CHS3;Verified;CHitin Synthase-related;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);urea;;glucose;YNBD;;ammonium;urea;;;24721214;
YBR026C;ETR1;Verified;2-Enoyl Thioester Reductase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);allantoin;;glucose;YNBD;;ammonium;allantoin;;;24721214;
YBR026C;ETR1;Verified;2-Enoyl Thioester Reductase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);ammonium;;glucose;YNBD;;;;;;24721214;
YBR026C;ETR1;Verified;2-Enoyl Thioester Reductase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);glutamine;;glucose;YNBD;;ammonium;glutamine;;;24721214;
YBR026C;ETR1;Verified;2-Enoyl Thioester Reductase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);proline;;glucose;YNBD;;ammonium;proline;;;24721214;
YBR026C;ETR1;Verified;2-Enoyl Thioester Reductase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);urea;;glucose;YNBD;;ammonium;urea;;;24721214;
YBR034C;HMT1;Verified;HnRNP MethylTransferase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);ammonium;;glucose;YNBD;;;;;;24721214;
YBR036C;CSG2;Verified;Calcium Sensitive Growth;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);arginine;;glucose;YNBD;;ammonium;arginine;;;24721214;
YBR036C;CSG2;Verified;Calcium Sensitive Growth;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);glutamate;;glucose;YNBD;;ammonium;glutamate;;;24721214;
YBR036C;CSG2;Verified;Calcium Sensitive Growth;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);urea;;glucose;YNBD;;ammonium;urea;;;24721214;
YBR041W;FAT1;Verified;FATty acid transporter;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);arginine;;glucose;YNBD;;ammonium;arginine;;;24721214;
YBR093C;PHO5;Verified;PHOsphate metabolism;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);ammonium;;glucose;YNBD;;;;;;24721214;
YBR121C;GRS1;Verified;Glycyl-tRNA Synthase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);glutamine;;glucose;YNBD;;ammonium;glutamine;;;24721214;
YBR127C;VMA2;Verified;Vacuolar Membrane Atpase;null;Utilization of nitrogen source;absent;S288C(BY4742);allantoin;;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;ammonium;histidine, leucine, uracil, lysine, allantoin;cultured in minimal medium containing histidine, leucine, lysine and uracil;;16361226;
YBR127C;VMA2;Verified;Vacuolar Membrane Atpase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);ammonium;;glucose;YNBD;;;;;;24721214;
YBR127C;VMA2;Verified;Vacuolar Membrane Atpase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);arginine;;glucose;YNBD;;ammonium;arginine;;;24721214;
YBR127C;VMA2;Verified;Vacuolar Membrane Atpase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);glutamine;;glucose;YNBD;;ammonium;glutamine;;;24721214;
YBR127C;VMA2;Verified;Vacuolar Membrane Atpase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);proline;;glucose;YNBD;;ammonium;proline;;;24721214;
YBR145W;ADH5;Verified;Alcohol DeHydrogenase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);allantoin;;glucose;YNBD;;ammonium;allantoin;;;24721214;
YBR145W;ADH5;Verified;Alcohol DeHydrogenase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);glutamate;;glucose;YNBD;;ammonium;glutamate;;;24721214;
YBR149W;ARA1;Verified;D-ARAbinose dehydrogenase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);allantoin;;glucose;YNBD;;ammonium;allantoin;;;24721214;
YBR149W;ARA1;Verified;D-ARAbinose dehydrogenase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);glutamate;;glucose;YNBD;;ammonium;glutamate;;;24721214;
YBR149W;ARA1;Verified;D-ARAbinose dehydrogenase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);glutamine;;glucose;YNBD;;ammonium;glutamine;;;24721214;
YBR149W;ARA1;Verified;D-ARAbinose dehydrogenase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);urea;;glucose;YNBD;;ammonium;urea;;;24721214;
YBR159W;IFA38;Verified;;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);allantoin;;glucose;YNBD;;ammonium;allantoin;;;24721214;
YBR159W;IFA38;Verified;;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);arginine;;glucose;YNBD;;ammonium;arginine;;;24721214;
YBR159W;IFA38;Verified;;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);glutamate;;glucose;YNBD;;ammonium;glutamate;;;24721214;
YBR166C;TYR1;Verified;TYRosine;null;Utilization of nitrogen source;absent;S288C(BY4742);allantoin;;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;ammonium;histidine, leucine, uracil, lysine, allantoin;cultured in minimal medium containing histidine, leucine, lysine and uracil;;16361226;
YBR184W;;Uncharacterized;;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);allantoin;;glucose;YNBD;;ammonium;allantoin;;;24721214;
YBR184W;;Uncharacterized;;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);glutamine;;glucose;YNBD;;ammonium;glutamine;;;24721214;
YBR213W;MET8;Verified;METhionine requiring;null;Utilization of nitrogen source;absent;S288C(BY4742);allantoin;;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;ammonium;histidine, leucine, uracil, lysine, allantoin;cultured in minimal medium containing histidine, leucine, lysine and uracil;;16361226;
YBR248C;HIS7;Verified;HIStidine requiring;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);glutamate;;glucose;YNBD;;ammonium;glutamate;;;24721214;
YBR294W;SUL1;Verified;SULfate;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);glutamine;;glucose;YNBD;;ammonium;glutamine;;;24721214;
YBR296C;PHO89;Verified;PHOsphate metabolism;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);arginine;;glucose;YNBD;;ammonium;arginine;;;24721214;
YBR298C;MAL31;Verified;MALtose fermentation;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);arginine;;glucose;YNBD;;ammonium;arginine;;;24721214;
YBR299W;MAL32;Verified;MALtose;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);proline;;glucose;YNBD;;ammonium;proline;;;24721214;
YCL025C;AGP1;Verified;high-Affinity Glutamine Permease;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);allantoin;;glucose;YNBD;;ammonium;allantoin;;;24721214;
YCL040W;GLK1;Verified;GLucoKinase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);ammonium;;glucose;YNBD;;;;;;24721214;
YCR024C-A;PMP1;Verified;Plasma Membrane Proteolipid;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);glutamine;;glucose;YNBD;;ammonium;glutamine;;;24721214;
YCR028C;FEN2;Verified;FENpropimorph resistance;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);glutamate;;glucose;YNBD;;ammonium;glutamate;;;24721214;
YCR032W;BPH1;Verified;Beige Protein Homolog;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);glutamate;;glucose;YNBD;;ammonium;glutamate;;;24721214;
YCR053W;THR4;Verified;THReonine requiring;null;Utilization of nitrogen source;absent;S288C(BY4742);allantoin;;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;ammonium;histidine, leucine, uracil, lysine, allantoin;cultured in minimal medium containing histidine, leucine, lysine and uracil;;16361226;
YDL019C;OSH2;Verified;OxySterol binding protein Homolog;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);allantoin;;glucose;YNBD;;ammonium;allantoin;;;24721214;
YDL019C;OSH2;Verified;OxySterol binding protein Homolog;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);arginine;;glucose;YNBD;;ammonium;arginine;;;24721214;
YDL019C;OSH2;Verified;OxySterol binding protein Homolog;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);glutamate;;glucose;YNBD;;ammonium;glutamate;;;24721214;
YDL019C;OSH2;Verified;OxySterol binding protein Homolog;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);urea;;glucose;YNBD;;ammonium;urea;;;24721214;
YDL067C;COX9;Verified;Cytochrome c OXidase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);arginine;;glucose;YNBD;;ammonium;arginine;;;24721214;
YDL067C;COX9;Verified;Cytochrome c OXidase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);proline;;glucose;YNBD;;ammonium;proline;;;24721214;
YDL078C;MDH3;Verified;Malate DeHydrogenase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);arginine;;glucose;YNBD;;ammonium;arginine;;;24721214;
YDL142C;CRD1;Verified;CaRDiolipin synthase;null;Utilization of nitrogen source;decreased rate;S288C (prototrophic haploids);glutamate;;glucose;YNBD;;ammonium;glutamate;;;24721214;
