Reaction;Reaction_name;Yeast7_ID;glucose rel flux;glucose exp flux;maltose rel flux;maltose exp flux;ethanol rel flux;ethanol exp flux;acetate rel flux;acetate exp flux
D-Glucose(ex) <==> D-Glucose-6-phosphate;R01786;r_0534;100,0000;-1,1500;100,0000;-0,6100;0,0000;0,0000;0,0000;0,00000
Pyruvate <==> Phosphoenolpyruvate;R00200;r_0962;-125,6757;1,4453;-129,4498;0,7896;-4,8677;0,1840;-3,2886;0,19370
Pyruvate-mit + CoA <==> Acetyl-CoA-mit + CO2-mit;R00209;r_0961;72,9730;-0,8392;79,2880;-0,4837;0,0000;0,0000;0,0000;0,00000
Isocitrate <==> 2-Oxoglutarate + CO2-mit;R00267;r_2131;64,8649;-0,7459;71,5210;-0,4363;31,7460;-1,2000;36,6443;-2,15835
(S)-Malate-mit <==> Oxaloacetate-mit;R00342;r_0713;73,9865;-0,8508;80,2589;-0,4896;0,3175;-0,0120;0,2013;-0,01186
Citrate + CoA <==> Acetyl-CoA-mit + Oxaloacetate-mit;R00351;r_0300;-72,9730;0,8392;-79,2880;0,4837;0,0000;0,0000;0,0000;0,00000
Succinate-mit + CoA <==> Succinyl-CoA;R00405;r_1022;-63,1757;0,7265;-70,2265;0,4284;-31,2169;1,1800;-57,1141;3,36402
Succinate-mit <==> Fumarate;R00402;r_0454;63,1757;-0,7265;70,2265;-0,4284;59,4709;-2,2480;74,8993;-4,41157
D-Glyceraldehyde-3-phosphate <==> Glycerone-phosphate;R01015;r_1054;62,5000;-0,7188;64,4013;-0,3928;-6,8783;0,2600;-4,0268;0,23718
D-Glyceraldehyde-3-phosphate <==> 3-Phospho-D-glyceroyl-phosphate;R01061;r_0486;135,4730;-1,5579;138,8350;-0,8469;-14,0741;0,5320;-8,3221;0,49017
D-Fructose-1,6-bisphosphate <==> Glycerone-phosphate + D-Glyceraldehyde-3-phosphate;R01070;r_0450;63,5135;-0,7304;65,3722;-0,3988;-6,5608;0,2480;-3,8255;0,22532
(S)-Malate-mit <==> Fumarate;R01082;r_0452;-3,3784;0,0389;-3,2362;0,0197;-29,3122;1,1080;-18,5235;1,09103
Citrate <==> Isocitrate;R01324;r_0302;72,9730;-0,8392;79,2880;-0,4837;62,7513;-2,3720;77,0470;-4,53807
3-Phospho-D-glycerate <==> 3-Phospho-D-glyceroyl-phosphate;R01512;r_0892;135,4730;-1,5579;138,8350;-0,8469;-14,0741;0,5320;-8,3221;0,49017
2-Phospho-D-glycerate <==> 3-Phospho-D-glycerate;R01518;r_0893;129,7297;-1,4919;133,3333;-0,8133;-16,0847;0,6080;-9,5973;0,56528
