Reaction;Reaction_name;Yeast7_ID;wild type rel flux;wild type exp flux;REG1 rel flux;REG1 exp flux;MIG1/MIG2 rel flux;MIG1/MIG2 exp flux;MIG1 rel flux;MIG1 exp flux;GRR1 rel flux;GRR1 exp flux;HXK2 rel flux;HXK2 exp flux
D-Glucose(ex) <==> D-Glucose-6-phosphate;R01786;r_0534;100,0000;1,5000;100,0000;1,5000;100,0000;1,5000;100,0000;1,5000;100,0000;1,5000;100,0000;1,5000
Pyruvate <==> Phosphoenolpyruvate;R00200;r_0962;164,8214;2,4723;171,1712;2,5676;158,4211;2,3763;171,1382;2,5671;169,2308;2,5385;167,6923;2,5154
Pyruvate-mit + CoA <==> Acetyl-CoA-mit + CO2-mit;R00209;r_0961;2,2321;0,0335;3,8739;0,0581;0,6579;0,0099;0,0000;0,0000;44,8077;0,6721;47,6923;0,7154
Isocitrate <==> 2-Oxoglutarate + CO2-mit;R00267;r_2131;3,8393;0,0576;4,8649;0,0730;2,7632;0,0414;2,6829;0,0402;43,8462;0,6577;46,7308;0,7010
Citrate + CoA <==> Acetyl-CoA-mit + Oxaloacetate-mit;R00351;r_0300;3,8393;0,0576;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Succinate-mit + CoA <==> Succinyl-CoA;R00405;r_1022;-0,9821;-0,0147;-1,8919;-0,0284;0,0000;0,0000;0,0000;0,0000;-40,1923;-0,6029;-43,0769;-0,6462
Succinate-mit <==> Fumarate;R00402;r_0454;0,9821;0,0147;1,8919;0,0284;0,0000;0,0000;0,0000;0,0000;40,1923;0,6029;43,0769;0,6462
D-Glyceraldehyde-3-phosphate <==> Glycerone-phosphate;R01015;r_1054;-88,3036;-1,3246;-88,5586;-1,3284;-88,0263;-1,3204;-89,1870;-1,3378;-86,9231;-1,3038;-85,1923;-1,2779
D-Glyceraldehyde-3-phosphate <==> 3-Phospho-D-glyceroyl-phosphate;R01061;r_0486;166,2500;2,4938;172,7027;2,5905;159,8684;2,3980;172,5203;2,5878;170,9615;2,5644;169,4231;2,5413
D-Fructose-1,6-bisphosphate <==> Glycerone-phosphate + D-Glyceraldehyde-3-phosphate;R01070;r_0450;88,3036;1,3246;88,5586;1,3284;88,0263;1,3204;89,1870;1,3378;86,9231;1,3038;85,1923;1,2779
(S)-Malate-mit <==> Fumarate;R01082;r_0452;-0,9821;-0,0147;-1,8919;-0,0284;0,0000;0,0000;0,0000;0,0000;-40,1923;-0,6029;-43,0769;-0,6462
Citrate <==> Isocitrate;R01324;r_0302;3,8393;0,0576;4,8649;0,0730;2,7632;0,0414;2,6829;0,0402;43,8462;0,6577;46,7308;0,7010
3-Phospho-D-glycerate <==> 3-Phospho-D-glyceroyl-phosphate;R01512;r_0892;-166,2500;-2,4938;-172,7027;-2,5905;-159,8684;-2,3980;-172,5203;-2,5878;-170,9615;-2,5644;-169,4231;-2,5413
2-Phospho-D-glycerate <==> 3-Phospho-D-glycerate;R01518;r_0893;-166,2500;-2,4938;-172,7027;-2,5905;-159,8684;-2,3980;-172,5203;-2,5878;-170,9615;-2,5644;-169,4231;-2,5413
6-Phospho-D-gluconate <==> D-Ribulose-5-phosphate + CO2;R01528;r_0889;21,5179;0,3228;20,6306;0,3095;22,3684;0,3355;19,5122;0,2927;22,6923;0,3404;27,5000;0,4125
Sedoheptulose-7-phosphate + D-Glyceraldehyde-3-phosphate <==> D-Ribose-5-phosphate + D-Xylulose-5-phosphate;R01641;r_1049;-7,0536;-0,1058;-6,7568;-0,1014;-7,3684;-0,1105;-6,4228;-0,0963;-7,5000;-0,1125;-9,0385;-0,1356
Sedoheptulose-7-phosphate + D-Glyceraldehyde-3-phosphate <==> D-Erythrose-4-phosphate + D-Fructose-6-phosphate;R01827;r_1048;7,0536;0,1058;6,7568;0,1014;7,3684;0,1105;6,4228;0,0963;7,5000;0,1125;9,0385;0,1356
D-Fructose-6-phosphate + D-Glyceraldehyde-3-phosphate <==> D-Erythrose-4-phosphate + D-Xylulose-5-phosphate;R01830;r_1050;6,3393;0,0951;6,0360;0,0905;6,5789;0,0987;5,6911;0,0854;6,5385;0,0981;8,2692;0,1240
D-Glucose-6-phosphate <==> D-Glucono-1,5-lactone-6-phosphate;R02736;r_0466;21,5179;0,3228;20,6306;0,3095;22,3684;0,3355;19,5122;0,2927;22,6923;0,3404;27,5000;0,4125
D-Glucose-6-phosphate <==> D-Fructose-6-phosphate;R02740;r_0467;74,9107;1,1237;75,6757;1,1351;74,0789;1,1112;77,0732;1,1561;72,8846;1,0933;67,8846;1,0183
D-Fructose-6-phosphate <==> D-Fructose-1,6-bisphosphate;R04779;r_0886;88,3036;1,3246;88,5586;1,3284;88,0263;1,3204;89,1870;1,3378;86,9231;1,3038;85,1923;1,2779
Pyruvate <==> Acetaldehyde;R00750;r_0959;152,0536;2,2808;156,5766;2,3486;147,5000;2,2125;161,2195;2,4183;111,1538;1,6673;106,7308;1,6010
Acetaldehyde <==> Acetate;R00634;r_2116;11,6964;0,1754;10,6306;0,1595;12,7632;0,1914;10,8943;0,1634;12,1154;0,1817;12,1154;0,1817
Acetaldehyde <==> Ethanol;R02679;r_2115;140,5357;2,1080;146,1261;2,1919;135,0000;2,0250;150,5691;2,2585;99,2308;1,4885;94,8077;1,4221
Acetate <==> Acetyl-CoA;R00229;r_0112;7,8571;0,1179;7,2973;0,1095;8,4211;0,1263;8,6179;0,1293;6,7308;0,1010;6,7308;0,1010
2-Phospho-D-glycerate <==> Phosphoenolpyruvate;R00658;r_0366;166,2500;2,4938;172,7027;2,5905;159,8684;2,3980;172,5203;2,5878;170,9615;2,5644;169,4231;2,5413
2-Oxoglutarate + CoA <==> Succinyl-CoA + CO2-mit;R08549;r_0832;0,9821;0,0147;1,8919;0,0284;0,0000;0,0000;0,0000;0,0000;40,1923;0,6029;43,0769;0,6462
D-Glucono-1,5-lactone-6-phosphate <==> 6-Phospho-D-gluconate;R02035;r_0091;21,5179;0,3228;20,6306;0,3095;22,3684;0,3355;19,5122;0,2927;22,6923;0,3404;27,5000;0,4125
Pyruvate + CO2 <==> Oxaloacetate;R00217;r_0958;8,2143;0,1232;9,6396;0,1446;6,8421;0,1026;8,3740;0,1256;13,4615;0,2019;15,7692;0,2365
Pyruvate <==> Pyruvate-mit;transport;r_2034;3,3929;0,0509;3,7838;0,0568;2,8947;0,0434;0,4878;0,0073;43,0769;0,6462;43,6538;0,6548
Oxaloacetate <==> Oxaloacetate-mit;transport;r_1239;5,4464;0,0817;5,4955;0,0824;5,3947;0,0809;5,2033;0,0780;6,7308;0,1010;6,7308;0,1010
