Reaction;Reaction_name;Yeast7_ID;Rel Flux 1;Exp Flux 1;Rel Flux 2;Exp Flux 2
D-Glucose(ex) <==> D-Glucose-6-phosphate;R01786;r_0534;100;1,5;100;1,5
Pyruvate <==> Phosphoenolpyruvate;R00200;r_0962;-122,7;-1,8405;-122,1;-1,8315
(S)-Malate-mit <==> Pyruvate-mit + CO2-mit;R00214;r_0718;0;0;6,7;0,1005
Isocitrate <==> 2-Oxoglutarate + CO2-mit;R00267;r_2131;58,9;0,8835;59,9;0,8985
(S)-Malate-mit <==> Oxaloacetate-mit;R00342;r_0713;26,6;0,399;18,3;0,2745
Citrate + CoA <==> Acetyl-CoA-mit + Oxaloacetate-mit;R00351;r_0300;-58,9;-0,8835;-59,9;-0,8985
Succinate-mit + CoA <==> Succinyl-CoA;R00405;r_1022;-47,5;-0,7125;-49,1;-0,7365
Succinate-mit <==> Fumarate;R00402;r_0454;47,5;0,7125;49,1;0,7365
2-Phospho-D-glycerate <==> Phosphoenolpyruvate;R00658;r_0366;127,7;1,9155;127,1;1,9065
D-Glyceraldehyde-3-phosphate <==> Glycerone-phosphate;R01015;r_1054;-61;-0,915;-60,3;-0,9045
D-Glyceraldehyde-3-phosphate <==> 3-Phospho-D-glyceroyl-phosphate;R01061;r_0486;127,7;1,9155;127,1;1,9065
D-Fructose-1,6-bisphosphate <==> Glycerone-phosphate + D-Glyceraldehyde-3-phosphate;R01070;r_0450;61;0,915;60,3;0,9045
(S)-Malate-mit <==> Fumarate;R01082;r_0452;-47,4;-0,711;-49,1;-0,7365
Citrate <==> Isocitrate;R01324;r_0302;58,9;0,8835;59,9;0,8985
3-Phospho-D-glycerate <==> 3-Phospho-D-glyceroyl-phosphate;R01512;r_0892;-127,7;-1,9155;-127,1;-1,9065
2-Phospho-D-glycerate <==> 3-Phospho-D-glycerate;R01518;r_0893;-127,7;-1,9155;-127,1;-1,9065
6-Phospho-D-gluconate <==> D-Ribulose-5-phosphate + CO2;R01528;r_0889;42,1;0,6315;44,2;0,663
Sedoheptulose-7-phosphate + D-Glyceraldehyde-3-phosphate <==> D-Ribose-5-phosphate + D-Xylulose-5-phosphate;R01641;r_1049;-11,4;-0,171;-12,1;-0,1815
Sedoheptulose-7-phosphate + D-Glyceraldehyde-3-phosphate <==> D-Erythrose-4-phosphate + D-Fructose-6-phosphate;R01827;r_1048;11,4;0,171;12,1;0,1815
D-Fructose-6-phosphate + D-Glyceraldehyde-3-phosphate <==> D-Erythrose-4-phosphate + D-Xylulose-5-phosphate;R01830;r_1050;-25,3;-0,3795;-26,7;-0,4005
D-Glucose-6-phosphate <==> D-Glucono-1,5-lactone-6-phosphate;R02736;r_0466;42,1;0,6315;44,2;0,663
D-Glucose-6-phosphate <==> D-Fructose-6-phosphate;R02740;r_0467;35,7;0,5355;33,6;0,504
D-Fructose-6-phosphate <==> D-Fructose-1,6-bisphosphate;R04779;r_0886;61;0,915;60,3;0,9045
Pyruvate + CO2 <==> Oxaloacetate;R00217  ;r_0958;21,2;0,318;27,3;0,4095
D-Glucono-1,5-lactone-6-phosphate <==> 6-Phospho-D-gluconate;R02035;r_0091;42,1;0,6315;44,2;0,663
2-Oxoglutarate + CoA <==> Succinyl-CoA + CO2-mit;R08549;r_0832;47,5;0,7125;49,1;0,7365
Oxaloacetate <==> Oxaloacetate-mit;transport;r_1239;38,1;0,5715;35,8;0,537

