Reaction;Reaction_name;Yeast7_ID;ADH3;Real Flux;ALD5;Real Flux;ALD6;Real Flux;COX5A;Real Flux;CTP1;Real Flux;DAL7;Real Flux;FUM1;Real Flux;GND2;Real Flux;GCV2;Real Flux;GLY1;Real Flux;GPD1;Real Flux;ICL1;Real Flux;IDP1;Real Flux;IDP2;Real Flux;LSC1;Real Flux;MAE1;Real Flux;MDH1;Real Flux;MDH3;Real Flux;OAC1;Real Flux;PCK1;Real Flux;PDA1;Real Flux;PGM1;Real Flux;PGM2;Real Flux;RPE1;Real Flux;SDH1;Real Flux;SER33;Real Flux;SFC1;Real Flux;SOL3;Real Flux;SOL4;Real Flux;TAL1;Real Flux;ZWF1;Real Flux
D-Glucose(ex) <==> D-Glucose-6-phosphate;R01786;r_0534;100;14,4;100;16,2;100;4,7;100;13,3;100;13,9;100;14,3;100;9,1;100;15,5;100;16;100;13,1;100;16,4;100;15,7;100;15;100;13,4;100;17,8;100;12,5;100;10;100;14,4;100;11,7;100;13,4;100;8;100;14,7;100;16,1;100;4,6;100;13,4;100;14,5;100;12,9;100;12,2;100;15,9;100;12,2;100;6,5
Pyruvate <==> Phosphoenolpyruvate;R00200;r_0962;-170,2852278;-24,5210728;-171,7604219;-27,82518835;-168,5431162;-7,92152646;-160,5855162;-21,35787365;-167,8622669;-23,33285509;-172,53723;-24,67282388;-164,1568278;-14,93827133;-177,7639914;-27,55341866;-171,9915333;-27,51864533;-174,5613363;-22,86753505;-172,3718771;-28,26898784;-172,8946515;-27,14446029;-173,9537209;-26,09305813;-169,128972;-22,66328224;-174,4980358;-31,06065037;-166,6380119;-20,82975148;-168,7885419;-16,87885419;-169,1008174;-24,35051771;-171,4559888;-20,06035069;-172,8579072;-23,16295957;-167,5810474;-13,40648379;-166,2353582;-24,43659766;-174,9191542;-28,16198383;-167,4704977;-7,703642894;-172,8579072;-23,16295957;-167,4921357;-24,28635968;-171,8298929;-22,16605619;-179,7886961;-21,93422092;-172,7614512;-27,46907074;-178,7145097;-21,80317018;-172,2111094;-11,19372211
Pyruvate-mit + CoA <==> Acetyl-CoA-mit + CO2-mit;R00209;r_0961;147,3321981;21,21583653;146,0447012;23,65924159;146,8058191;6,899873498;143,8366718;19,13027735;144,1818319;20,04127464;151,4926938;21,66345522;141,1227445;12,84216975;156,2463267;24,21818063;151,3415925;24,2146548;152,0190024;19,91448931;151,7378291;24,88500397;155,7990276;24,46044733;147,5360663;22,13040994;148,4485981;19,89211215;152,4443474;27,13509385;135,0109409;16,87636761;144,4997016;14,44997016;143,0585831;20,60043597;149,969467;17,54642764;152,9236414;20,49176794;138,5227408;11,08181926;140,1116862;20,59641787;145,5659204;23,43611318;98,40944074;4,526834274;152,9236414;20,49176794;149,6084599;21,69322669;147,5942884;19,0396632;140,3796599;17,1263185;152,9293815;24,31577166;144,1734889;17,58916565;97,39959994;6,330973996
(S)-Malate-mit <==> Pyruvate-mit + CO2-mit;R00214;r_0718;0,794664396;0,114431673;5,129331994;0,830951783;0,295171832;0,013873076;1,725731895;0,229522342;0,022653477;0,003148833;0,321610851;0,045990352;0;0;0,254685561;0,039476262;5,017742638;0,802838822;0,643628841;0,084315378;0;0;0,395461912;0,06208752;0;0;0;0;0;0;0;0;0;0;1,042234332;0,150081744;0;0;0;0;0,273126707;0,021850137;2,17243258;0,319347589;2,935323383;0,472587065;7,183170857;0,330425859;0;0;0;0;0,838118889;0,108117337;4,913245147;0,599415908;0;0;1,036404808;0,126441387;16,31020157;1,060163102
Isocitrate <==> 2-Oxoglutarate + CO2-mit;R00267;r_2131;6,250886902;0,900127714;10,86137619;1,759542943;5,69259962;0,267552182;5,385208012;0,716232666;6,486445669;0,901615948;5,082849752;0,726847515;6,694141234;0,609166852;4,590870502;0,711584928;9,275975845;1,484156135;6,091487242;0,797984829;4,935556777;0,809431311;3,293354943;0,517056726;5,699185831;0,854877875;4,590654206;0,615147664;4,386730685;0,780838062;9,917161613;1,239645202;6,156753531;0,615675353;8,528610354;1,228119891;5,557009509;0,650170113;5,296950241;0,709791332;26,52891581;2,122313264;9,935984745;1,460589758;10,2238806;1,646044776;34,94099538;1,607285788;5,296950241;0,709791332;3,995716485;0,57937889;7,527549278;0,971053857;13,82923896;1,687167153;4,824863713;0,76715333;7,655460721;0,933966208;57,39344515;3,730573934
(S)-Malate-mit <==> Oxaloacetate-mit;R00342;r_0713;0,688236129;0,099106003;1,387493722;0,224773983;0,843348092;0,03963736;0,292758089;0,038936826;0,528581137;0,073472778;0,391526253;0,055988254;0;0;0,431006334;0,066805982;1,936126502;0,30978024;0,413761398;0,054202743;0,054975261;0,009015943;0,401944895;0,063105348;0,314240823;0,047136123;0,246728972;0,033061682;0,016368398;0,002913575;3,758987183;0,469873398;0;0;1,335149864;0,19226158;0,497252028;0,058178487;0;0;5,783161145;0,462652892;2,322255516;0,341371561;2,779850746;0,44755597;13,00667009;0,598306824;0;0;0;0;0,876920689;0,113122769;4,200309225;0,512437725;0,294504668;0,046826242;0,844800557;0,103065668;36,17479612;2,351361748
Citrate + CoA <==> Acetyl-CoA-mit + Oxaloacetate-mit;R00351;r_0300;-6,250886902;-0,900127714;-10,86137619;-1,759542943;-5,69259962;-0,267552182;-5,385208012;-0,716232666;-6,486445669;-0,901615948;-5,082849752;-0,726847515;-6,694141234;-0,609166852;-4,590870502;-0,711584928;-9,275975845;-1,484156135;-6,091487242;-0,797984829;-4,935556777;-0,809431311;-3,293354943;-0,517056726;-5,699185831;-0,854877875;-4,590654206;-0,615147664;-4,386730685;-0,780838062;-9,917161613;-1,239645202;-6,156753531;-0,615675353;-8,528610354;-1,228119891;-5,993195499;-0,701203873;-5,296950241;-0,709791332;-26,52891581;-2,122313264;-9,935984745;-1,460589758;-10,2238806;-1,646044776;-34,94099538;-1,607285788;-5,296950241;-0,709791332;-3,995716485;-0,57937889;-7,527549278;-0,971053857;-13,82923896;-1,687167153;-4,824863713;-0,76715333;-7,655460721;-0,933966208;-58,47053393;-3,800584705
Succinate-mit + CoA <==> Succinyl-CoA;R00405;r_1022;-3,611465872;-0,520051086;-8,274736313;-1,340507283;-2,804132406;-0,131794223;-3,405238829;-0,452896764;-3,715170279;-0,516408669;-2,67076837;-0,381919877;-4,355090221;-0,39631321;-2,390126037;-0,370469536;-6,95386914;-1,112619062;-3,662554594;-0,479794652;-2,681571071;-0,439777656;-0,797406807;-0,125192869;-3,028138837;-0,454220826;-1,742056075;-0,233435514;-2,089698821;-0,37196639;-6,728665208;-0,841083151;-3,282275711;-0,328227571;-5,790190736;-0,833787466;-3,027130769;-0,3541743;-3,057402736;-0,409691967;-24,54577841;-1,963662273;-7,286842822;-1,071165895;-7,518656716;-1,210503731;-30,73370959;-1,413750641;-3,057402736;-0,409691967;-1,807107958;-0,262030654;-4,904547571;-0,632686637;-10,74557636;-1,310960316;-2,42496397;-0,385569271;-4,493990594;-0,548266852;-54,94691491;-3,571549469
Succinate-mit <==> Fumarate;R00402;r_0454;1,482900525;0,213537676;6,516825716;1,055725766;1,117436222;0,052519502;2,018489985;0,268459168;0,551234615;0,076621611;0,713137104;0,101978606;1,113833816;0,101358877;0,692222295;0,107294456;6,95386914;1,112619062;1,057390238;0,138518121;0,054975261;0,009015943;0,797406807;0,125192869;0,314240823;0,047136123;0,246728972;0,033061682;0,016368398;0,002913575;3,758987183;0,469873398;0;0;2,384196185;0,343324251;0,497252028;0,058178487;0;0;9,618810118;0,769504809;4,630890765;0,680740943;5,715174129;0,920143035;20,47203694;0,941713699;0;0;0;0;1,722799938;0,222241192;9,113554372;1,111853633;0,294504668;0,046826242;1,881205365;0,229507055;54,17756578;3,521541776
2-Phospho-D-glycerate <==> Phosphoenolpyruvate;R00658;r_0366;170,8386547;24,60076628;173,2546459;28,06725264;170,2298124;8,000801181;161,7257319;21,50952234;169,4857661;23,55852148;172,2156191;24,62683353;165,5045667;15,06091557;174,9232678;27,11310651;173,3362386;27,73379817;174,3927668;22,84545246;171,8709914;28,18684259;172,7714749;27,12512156;171,104128;25,6656192;170,1831776;22,80454579;170,9079005;30,42160629;165,8408878;20,73011097;170,4495723;17,04495723;170,6948229;24,5800545;170,6795778;19,9695106;174,1496599;23,33605442;168,7448047;13,49958437;167,502043;24,62280033;172,5310945;27,77750622;165,7773217;7,625756798;174,1496599;23,33605442;167,7531624;24,32420855;173,3509235;22,36226913;172,9857413;21,10426044;173,4569835;27,57966038;172,6005922;21,05727225;173,2881982;11,26373288
