;ADH3_real_flux;ADH3_sim_flux;ADH3_abs_error;ADH3_rel_error;ALD5_real_flux;ALD5_sim_flux;ALD5_abs_error;ALD5_rel_error;ALD6_real_flux;ALD6_sim_flux;ALD6_abs_error;ALD6_rel_error;COX5A_real_flux;COX5A_sim_flux;COX5A_abs_error;COX5A_rel_error;CTP1_real_flux;CTP1_sim_flux;CTP1_abs_error;CTP1_rel_error;DAL7_real_flux;DAL7_sim_flux;DAL7_abs_error;DAL7_rel_error;FUM1_real_flux;FUM1_sim_flux;FUM1_abs_error;FUM1_rel_error;GND2_real_flux;GCV2_sim_flux;GND2_abs_error;GND2_rel_error;GCV2_real_flux;GLY1_sim_flux;GCV2_abs_error;GCV2_rel_error;GLY1_real_flux;GND2_sim_flux;GLY1_abs_error;GLY1_rel_error;GPD1_real_flux;GPD1_sim_flux;GPD1_abs_error;GPD1_rel_error;ICL1_real_flux;ICL1_sim_flux;ICL1_abs_error;ICL1_rel_error;IDP1_real_flux;IDP1_sim_flux;IDP1_abs_error;IDP1_rel_error;IDP2_real_flux;IDP2_sim_flux;IDP2_abs_error;IDP2_rel_error;LSC1_real_flux;LSC1_sim_flux;LSC1_abs_error;LSC1_rel_error;MAE1_real_flux;MAE1_sim_flux;MAE1_abs_error;MAE1_rel_error;MDH1_real_flux;MDH1_sim_flux;MDH1_abs_error;MDH1_rel_error;MDH3_real_flux;MDH3_sim_flux;MDH3_abs_error;MDH3_rel_error;OAC1_real_flux;OAC1_sim_flux;OAC1_abs_error;OAC1_rel_error;PCK1_real_flux;PCK1_sim_flux;PCK1_abs_error;PCK1_rel_error;PDA1_real_flux;PDA1_sim_flux;PDA1_abs_error;PDA1_rel_error;PGM1_real_flux;PGM1_sim_flux;PGM1_abs_error;PGM1_rel_error;PGM2_real_flux;PGM2_sim_flux;PGM2_abs_error;PGM2_rel_error;RPE1_real_flux;RPE1_sim_flux;RPE1_abs_error;RPE1_rel_error;SDH1_real_flux;SDH1_sim_flux;SDH1_abs_error;SDH1_rel_error;SER33_real_flux;SER33_sim_flux;SER33_abs_error;SER33_rel_error;SFC1_real_flux;SFC1_sim_flux;SFC1_abs_error;SFC1_rel_error;SOL3_real_flux;SOL3_sim_flux;SOL3_abs_error;SOL3_rel_error;SOL4_real_flux;SOL4_sim_flux;SOL4_abs_error;SOL4_rel_error;TAL1_real_flux;TAL1_sim_flux;TAL1_abs_error;TAL1_rel_error;ZWF1_real_flux;ZWF1_sim_flux;ZWF1_abs_error;ZWF1_rel_error
r_0534;14.4;14.4;0.0;0.0;16.2;16.2;0.0;0.0;4.7;4.7;0.0;0.0;13.3;13.3;0.0;0.0;13.9;13.9;0.0;0.0;14.3;14.3;0.0;0.0;9.1;9.1;0.0;0.0;15.5;16.0;0.5;3.225806451612903;16.0;13.1;2.9000000000000004;18.125000000000004;13.1;15.5;2.4000000000000004;18.320610687022903;16.4;16.4;0.0;0.0;15.7;15.7;0.0;0.0;15.0;15.0;0.0;0.0;13.4;13.4;0.0;0.0;17.8;17.8;0.0;0.0;12.5;12.5;0.0;0.0;10.0;10.0;0.0;0.0;14.4;14.4;0.0;0.0;11.7;11.7;0.0;0.0;13.4;13.4;0.0;0.0;8.0;8.0;0.0;0.0;14.7;14.7;0.0;0.0;16.1;16.1;0.0;0.0;4.6;4.6;0.0;0.0;13.4;13.4;0.0;0.0;14.5;14.5;0.0;0.0;12.9;12.9;0.0;0.0;12.2;12.2;0.0;0.0;15.9;15.9;0.0;0.0;12.2;12.2;0.0;0.0;6.5;6.5;0.0;0.0
r_0962;-24.5210728;22.771020526107577;47.292093326107576;192.8630680714246;-27.82518835;25.354926325572215;53.18011467557221;191.12220915324804;-7.92152646;7.5458114687323645;15.467337928732364;195.2570379816968;-21.35787365;21.054190307225326;42.41206395722533;198.5781199582353;-23.33285509;21.38921773688146;44.72207282688146;191.66995489569751;-24.67282388;22.975512326579256;47.64833620657926;193.1207243983264;-14.93827133;13.713842653998029;28.652113983998028;191.80341119160826;-27.55341866;26.97122212281078;54.52464078281078;197.88702612777988;-27.51864533;21.134814200058837;48.65345953005884;176.8017972782196;-22.86753505;25.403801600221914;48.27133665022191;211.09112348434732;-28.26898784;26.821049664113318;55.09003750411332;194.87799781130514;-27.14446029;25.63425538878019;52.77871567878019;194.4364158097622;-26.09305813;23.54448808199869;49.63754621199869;190.2327659896977;-22.66328224;21.272392024653687;43.935674264653684;193.86280327528448;-31.06065037;30.499436131195154;61.56008650119516;198.19316649162346;-20.82975148;19.195900589664696;40.025652069664694;192.15616714436524;-16.87885419;15.334178749200687;32.21303293920069;190.8484579378945;-24.35051771;22.20071154252571;46.55122925252571;191.17141494453142;-20.06035069;18.424224861240795;38.484575551240795;191.84398192213655;-23.16295957;22.776651721062592;45.93961129106259;198.33221722910682;-13.40648379;10.161163833093148;23.567647623093148;175.79290731453716;-24.43659766;22.339007128089346;46.775604788089346;191.41619238039763;-28.16198383;25.04959642360348;53.21158025360348;188.9482664815644;-7.703642894;5.306796922888697;13.010439816888697;168.8868499735613;-23.16295957;21.73972622457345;44.90268579457345;193.85556348649902;-24.28635968;23.447915397651652;47.73427507765165;196.54767411256447;-22.16605619;20.399260543859043;42.56531673385904;192.0292738094834;-21.93422092;18.46461446213138;40.39883538213138;184.18176569606365;-27.46907074;25.7178113986691;53.1868821386691;193.62461381418066;-21.80317018;18.73248688205773;40.53565706205773;185.9163448590655;-11.19372211;7.525747867952143;18.719469977952144;167.23186259223783
r_0961;21.21583653;0.8240308030992344;20.391805726900767;96.1159636485037;23.65924159;0.9484801677532877;22.710761422246712;95.9910795781629;6.899873498;0.2597201093222137;6.640153388677787;96.23587143449085;19.13027735;0.7592355925450502;18.37104175745495;96.0312358328404;20.04127464;0.8420108663577066;19.199263773642294;95.79861619840709;21.66345522;0.7886798249653721;20.87477539503463;96.35939965736743;12.84216975;0.5724032479193253;12.269766502080675;95.54278397605415;24.21818063;1.5593562649660546;22.658824365033944;93.56121630774187;24.2146548;0.7153625849727866;23.499292215027214;97.04574526921282;19.91448931;0.8139873465830199;19.10050196341698;95.91258739346995;24.88500397;0.8659746640749327;24.019029305925066;96.52009433022833;24.46044733;0.8324434409336564;23.628003889066346;96.59677752535339;22.13040994;0.8687599788433665;21.261649961156632;96.07436111125483;19.89211215;0.760588718067061;19.131523431932937;96.17643057543759;27.13509385;0.8264273110402345;26.308666538959766;96.95439670999983;16.87636761;0.7404241701838445;16.135943439816156;95.6126567796194;14.44997016;0.607067488749429;13.84290267125057;95.79883223267896;20.60043597;0.8706284546925265;19.729807515307474;95.77373772108317;17.54642764;0.6758351203810501;16.870592519618953;96.14830360773625;20.49176794;0.6371429597666123;19.854624980233385;96.89073699432781;11.08181926;0.0;11.08181926;100.0;20.59641787;0.9152571996202754;19.681160670379725;95.55623115923763;23.43611318;0.9547846741209196;22.48132850587908;95.92601099513499;4.526834274;0.4251631344638623;4.101671139536137;90.60793683334512;20.49176794;0.7218659790915929;19.769901960908406;96.47728794701746;21.69322669;0.7873672148068387;20.90585947519316;96.37044674792527;19.0396632;0.7375502498833845;18.302112950116616;96.12624318962017;17.1263185;0.7657489232560689;16.36056957674393;95.52881768924203;24.31577166;0.8629019630219464;23.452869696978052;96.45126638345005;17.58916565;0.7438621432637702;16.845303506736233;95.77090717055263;6.330973996;0.5974098170323123;5.733564178967688;90.5636981385524
r_0718;0.114431673;0.0;0.114431673;100.0;0.830951783;0.0;0.830951783;100.0;0.013873076;0.0;0.013873076;100.0;0.229522342;0.0;0.229522342;100.0;0.003148833;0.0;0.003148833;100.0;0.045990352;0.0;0.045990352;100.0;0.0;0.0;0.0;;0.039476262;0.0;0.039476262;100.0;0.802838822;0.0;0.802838822;100.0;0.084315378;0.0;0.084315378;100.0;0.0;0.0;0.0;;0.06208752;0.0;0.06208752;100.0;0.0;0.0;0.0;;0.0;0.1170366485391181;0.1170366485391181;inf;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.09341335551341629;0.09341335551341629;inf;0.150081744;0.0;0.150081744;100.0;0.0;0.0;0.0;;0.0;0.0;0.0;;0.021850137;0.0;0.021850137;100.0;0.319347589;0.0;0.319347589;100.0;0.472587065;0.0;0.472587065;100.0;0.330425859;0.03968661573842667;0.2907392432615733;87.98925245786326;0.0;0.0;0.0;;0.0;0.0;0.0;;0.108117337;0.0;0.108117337;100.0;0.599415908;0.0;0.599415908;100.0;0.0;0.0;0.0;;0.126441387;0.0;0.126441387;100.0;1.060163102;0.0;1.060163102;100.0
r_2131;0.900127714;0.3599629846550274;0.5401647293449726;60.0097876049812;1.759542943;0.41432644360681614;1.3452164993931839;76.45260973850434;0.267552182;0.11345404246410856;0.15409813953589147;57.59554580492693;0.716232666;0.3316583663146545;0.3845742996853455;53.69404635411386;0.901615948;0.2387847751838049;0.6628311728161951;73.51591043686764;0.726847515;0.34452054785329655;0.38232696714670344;52.60071187650733;0.609166852;0.25004137334612375;0.35912547865387623;58.953549011211834;0.711584928;0.3744984548968462;0.33708647310315376;47.371221598323935;1.484156135;0.3124932347539074;1.1716629002460928;78.9447196703528;0.797984829;0.35557568193499334;0.44240914706500667;55.44079674038599;0.809431311;0.37828540334129857;0.4311459076587014;53.26528660301621;0.517056726;0.36363789366608734;0.15341883233391262;29.67156689378655;0.854877875;0.0;0.854877875;100.0;0.615147664;0.44928610331755786;0.16586156068244212;26.962885562131;0.780838062;0.36100985589812595;0.4198282061018741;53.76636034193144;1.239645202;0.39255541730002425;0.8470897846999756;68.33324432937027;0.615675353;0.0;0.615675353;100.0;1.228119891;0.3803183277834039;0.847801563216596;69.03247552861238;0.650170113;0.2952263752181069;0.35494373778189314;54.592441375707025;0.709791332;0.2783244031496581;0.4314669288503419;60.78785544401969;2.122313264;0.28396264714518554;1.8383506168548147;86.62013511568077;1.460589758;0.39981358956874025;1.0607761684312598;72.62656489415556;1.646044776;0.41708045343306865;1.2289643225669313;74.66165808401625;1.607285788;0.22541145790609057;1.3818743300939094;85.9756454272779;0.709791332;0.31533412510483705;0.39445720689516295;55.57368611190125;0.57937889;0.34394715779484586;0.23543173220515412;40.6351933542408;0.971053857;0.2748888079247214;0.6961650490752787;71.69170320027662;1.687167153;0.33450359728656187;1.352663555713438;80.17365400388624;0.76715333;0.3769431493408102;0.3902101806591898;50.86469228507289;0.933966208;0.324942752448135;0.609023455551865;65.20829665304818;3.730573934;0.26096769682925014;3.46960623717075;93.00462337843456
r_0713;0.099106003;0.48676187240717067;0.3876558694071707;391.1527633771798;0.224773983;0.5602751507106694;0.33550116771066935;149.26156632223282;0.03963736;0.153418836092043;0.11378147609204298;287.0561412062836;0.038936826;0.44848680077908637;0.4095499747790864;1051.8319463920513;0.073472778;0.49738284582803916;0.42391006782803914;576.9620795174495;0.055988254;0.46587975459901976;0.40989150059901974;732.1026667468855;0.0;0.33812337558406;0.33812337558406;inf;0.066805982;1.208468260328756;1.141662278328756;1708.9222314384301;0.30978024;0.42257064906037783;0.11279040906037785;36.40981395726786;0.054202743;0.4808291188245557;0.4266263758245557;787.0937008198197;0.009015943;0.5115384611314383;0.5025225181314383;5573.710017148936;0.063105348;5.620062980946134;5.556957632946134;8805.842625170428;0.047136123;0.5131837698102241;0.46604764681022404;988.7271526557754;0.033061682;0.44928610331755786;0.4162244213175579;1258.9329887014153;0.002913575;0.488177509648173;0.485263934648173;16655.275208229516;0.469873398;0.4373747365980585;0.03249866140194152;6.916471870991411;0.0;0.0;0.0;;0.19226158;0.514287494087841;0.32202591408784104;167.49363762008045;0.058178487;0.39922144584635055;0.34104295884635055;586.201148280722;0.0;0.37636566366281193;0.37636566366281193;inf;0.462652892;0.38399000927985244;0.07866288272014754;17.002570194708206;0.341371561;0.5406500661695026;0.19927850516950263;58.37583675269968;0.44755597;0.5639992752368043;0.11644330523680424;26.017596243170267;0.598306824;0.25114741176151045;0.34715941223848956;58.02364243776192;0.0;0.42641225824096346;0.42641225824096346;inf;0.0;0.4651043848238786;0.4651043848238786;inf;0.113122769;0.43567708789203996;0.32255431889203995;285.1365129614534;0.512437725;0.4523342795876191;0.06010344541238083;11.728926751515187;0.046826242;0.5097233909759612;0.4628971489759612;988.5421703837801;0.103065668;1.0087998117204298;0.9057341437204298;878.7932599635699;2.351361748;7.262921984489758;4.911560236489757;208.88152325635932
r_0300;-0.900127714;0.48676187240717067;1.3868895864071706;154.07697872606226;-1.759542943;0.5602751507106694;2.319818093710669;131.8420844992511;-0.267552182;0.153418836092043;0.420971018092043;157.34165012044002;-0.716232666;0.44848680077908637;1.1647194667790863;162.61747363238615;-0.901615948;0.49738284582803916;1.398998793828039;155.16571073652295;-0.726847515;0.46587975459901976;1.1927272695990196;164.0959410309079;-0.609166852;0.33812337558406;0.94729022758406;155.50587240161585;-0.711584928;1.208468260328756;1.920053188328756;269.8276920683677;-1.484156135;0.42257064906037783;1.9067267840603779;128.47211550692933;-0.797984829;0.4808291188245557;1.2788139478245557;160.2554210744971;-0.809431311;0.5115384611314383;1.3209697721314382;163.19726630039372;-0.517056726;0.4917312877843214;1.0087880137843213;195.1020000432837;-0.854877875;0.5131837698102241;1.368061644810224;160.03006801529682;-0.615147664;0.44928610331755786;1.064433767317558;173.037114437869;-0.780838062;0.488177509648173;1.269015571648173;162.51968665535836;-1.239645202;0.4373747365980585;1.6770199385980584;135.28225139680399;-0.615675353;0.3585998319356589;0.9742751849356589;158.2449549406697;-1.228119891;0.514287494087841;1.742407385087841;141.8760006947759;-0.701203873;0.39922144584635055;1.1004253188463506;156.93371945285173;-0.709791332;0.37636566366281193;1.0861569956628119;153.0248323267509;-2.122313264;0.38399000927985244;2.5063032732798525;118.09299389460217;-1.460589758;0.5406500661695026;2.0012398241695024;137.01587411579686;-1.646044776;0.5639992752368043;2.2100440512368045;134.26390845863628;-1.607285788;0.25114741176151045;1.8584331997615104;115.6255604097652;-0.709791332;0.42641225824096346;1.1362035902409635;160.07572071068395;-0.57937889;0.4651043848238786;1.0444832748238786;180.27637748829244;-0.971053857;0.43567708789203996;1.40673094489204;144.86641855664243;-1.687167153;0.4523342795876191;2.139501432587619;126.81028247754294;-0.76715333;0.5097233909759612;1.2768767209759613;166.44348281404987;-0.933966208;0.439405575988256;1.373371783988256;147.04726704504668;-3.800584705;0.3528949646534696;4.1534796696534695;109.2852808724196
r_1022;-0.520051086;0.0;0.520051086;100.0;-1.340507283;0.0;1.340507283;100.0;-0.131794223;0.0;0.131794223;100.0;-0.452896764;0.0;0.452896764;100.0;-0.516408669;0.0;0.516408669;100.0;-0.381919877;0.0;0.381919877;100.0;-0.39631321;0.0;0.39631321;100.0;-0.370469536;0.7020467439172684;1.0725162799172683;289.5018822592928;-1.112619062;0.0;1.112619062;100.0;-0.479794652;0.0;0.479794652;100.0;-0.439777656;0.0;0.439777656;100.0;-0.125192869;0.0;0.125192869;100.0;-0.454220826;0.0;0.454220826;100.0;-0.233435514;0.0;0.233435514;100.0;-0.37196639;0.0;0.37196639;100.0;-0.841083151;0.0;0.841083151;100.0;-0.328227571;0.0;0.328227571;100.0;-0.833787466;0.0;0.833787466;100.0;-0.3541743;0.0;0.3541743;100.0;-0.409691967;0.0;0.409691967;100.0;-1.963662273;0.0;1.963662273;100.0;-1.071165895;0.0;1.071165895;100.0;-1.210503731;0.0;1.210503731;100.0;-1.413750641;0.0;1.413750641;100.0;-0.409691967;0.0;0.409691967;100.0;-0.262030654;0.0;0.262030654;100.0;-0.632686637;0.0;0.632686637;100.0;-1.310960316;0.0;1.310960316;100.0;-0.385569271;0.0;0.385569271;100.0;-0.548266852;0.0;0.548266852;100.0;-3.571549469;0.0;3.571549469;100.0
r_0454;0.213537676;2.7583799573409404;2.5448422813409404;1191.7532910402847;1.055725766;0.0;1.055725766;100.0;0.052519502;0.0;0.052519502;100.0;0.268459168;2.530564255046549;2.2621050870465487;842.6253809467772;0.076621611;0.0;0.076621611;100.0;0.101978606;2.4650274678294295;2.3630488618294296;2317.2005918863315;0.101358877;0.0;0.101358877;100.0;0.107294456;0.0;0.107294456;100.0;1.112619062;0.0;1.112619062;100.0;0.138518121;2.293601894216779;2.155083773216779;1555.813605944582;0.009015943;0.0;0.009015943;100.0;0.125192869;0.0;0.125192869;100.0;0.047136123;3.1031363133228527;3.0560001903228526;6483.350763326149;0.033061682;2.5990544933582456;2.5659928113582455;7761.228879275548;0.002913575;0.0;0.002913575;100.0;0.469873398;0.0;0.469873398;100.0;0.0;0.0;0.0;;0.343324251;0.0;0.343324251;100.0;0.058178487;0.0;0.058178487;100.0;0.0;0.0;0.0;;0.769504809;10.674680601587106;9.905175792587105;1287.2142807605385;0.680740943;3.5012254552672917;2.8204845122672917;414.3256757611084;0.920143035;0.0;0.920143035;100.0;0.941713699;0.0;0.941713699;100.0;0.0;2.150924689481362;2.150924689481362;inf;0.0;2.3852742952231845;2.3852742952231845;inf;0.222241192;0.0;0.222241192;100.0;1.111853633;2.9626728009340355;1.8508191679340356;166.46248328030023;0.046826242;0.0;0.046826242;100.0;0.229507055;0.0;0.229507055;100.0;3.521541776;0.0;3.521541776;100.0
r_0366;24.60076628;23.02357483093132;1.5771914490686783;6.411147649294599;28.06725264;25.645622678797245;2.421629961202754;8.627955120023298;8.000801181;7.62541217226422;0.3753890087357803;4.691892727283861;21.50952234;21.28688575568609;0.22263658431391065;1.035060568964316;23.55852148;21.647282688103193;1.9112387918968068;8.11272809933914;24.62683353;23.21723203435413;1.4096014956458696;5.723843846707765;15.06091557;13.889276513768085;1.1716390562319159;7.779334867036345;27.11310651;27.233974686174154;0.12086817617415235;0.4457924293166963;27.73379817;21.35406316461843;6.379735005381569;23.00346662319988;22.84545246;25.65327772135527;2.807825261355269;12.29052156560032;28.18684259;27.086459195477744;1.1003833945222574;3.903890231794342;27.12512156;25.88938805340798;1.2357335065920196;4.555679147312251;25.6656192;23.810751274697633;1.854867925302365;7.227053089381008;22.80454579;21.505502187800193;1.2990436021998057;5.696423924257453;30.42160629;30.75272493331532;0.33111864331532104;1.0884324784130952;20.73011097;19.56105955408806;1.1690514159119374;5.639388122927822;17.04495723;15.520236730316888;1.524720499683113;8.945287917763304;24.5800545;22.46754739782099;2.112507102179009;8.594395517629993;19.9695106;18.631359192095115;1.3381514079048848;6.700972471027332;23.33605442;22.971927427592;0.36412699240799995;1.560362286847975;13.49958437;10.360395398567558;3.139188971432443;23.25396756961372;24.62280033;22.619521090571872;2.003279239428128;8.135870870005663;27.77750622;25.34222502282823;2.4352811971717685;8.767098017669955;7.625756798;5.437103677754356;2.188653120245644;28.700798861296757;23.33605442;21.960968391540636;1.3750860284593642;5.8925386601809455;24.32420855;23.689232808152145;0.6349757418478568;2.6104682524104437;22.36226913;20.625309727859563;1.7369594021404389;7.767366504905484;21.10426044;18.699306158430964;2.4049542815690366;11.395586632407179;27.57966038;25.98227918868666;1.5973811913133389;5.791881296956489;21.05727225;18.960470576077544;2.0968016739224566;9.957612975832882;11.26373288;7.708845903205209;3.5548869767947906;31.56046947017791
