;ADH3_real_flux;ADH3_sim_flux;ALD5_real_flux;ALD5_sim_flux;ALD6_real_flux;ALD6_sim_flux;COX5A_real_flux;COX5A_sim_flux;CTP1_real_flux;CTP1_sim_flux;DAL7_real_flux;DAL7_sim_flux;FUM1_real_flux;FUM1_sim_flux;GND2_real_flux;GCV2_sim_flux;GCV2_real_flux;GLY1_sim_flux;GLY1_real_flux;GND2_sim_flux;GPD1_real_flux;GPD1_sim_flux;ICL1_real_flux;ICL1_sim_flux;IDP1_real_flux;IDP1_sim_flux;IDP2_real_flux;IDP2_sim_flux;LSC1_real_flux;LSC1_sim_flux;MAE1_real_flux;MAE1_sim_flux;MDH1_real_flux;MDH1_sim_flux;MDH3_real_flux;MDH3_sim_flux;OAC1_real_flux;OAC1_sim_flux;PCK1_real_flux;PCK1_sim_flux;PDA1_real_flux;PDA1_sim_flux;PGM1_real_flux;PGM1_sim_flux;PGM2_real_flux;PGM2_sim_flux;RPE1_real_flux;RPE1_sim_flux;SDH1_real_flux;SDH1_sim_flux;SER33_real_flux;SER33_sim_flux;SFC1_real_flux;SFC1_sim_flux;SOL3_real_flux;SOL3_sim_flux;SOL4_real_flux;SOL4_sim_flux;TAL1_real_flux;TAL1_sim_flux;ZWF1_real_flux;ZWF1_sim_flux
r_0534;14.4;14.4;16.2;16.2;4.7;4.7;13.3;13.3;13.9;13.9;14.3;14.3;9.1;9.1;15.5;16.0;16.0;13.1;13.1;15.5;16.4;16.4;15.7;15.7;15.0;15.0;13.4;13.4;17.8;17.8;12.5;12.5;10.0;10.0;14.4;14.4;11.7;11.7;13.4;13.4;8.0;8.0;14.7;14.7;16.1;16.1;4.6;4.6;13.4;13.4;14.5;14.5;12.9;12.9;12.2;12.2;15.9;15.9;12.2;12.2;6.5;6.5
r_0962;-24.5210728;7.659154822400268;-27.82518835;8.616549175200339;-7.92152646;2.499035062529275;-21.35787365;7.074080495689043;-23.33285509;7.388652670799929;-24.67282388;7.605966247244733;-14.93827133;5.073649074529451;-27.55341866;18.125472297184064;-27.51864533;6.967703345377971;-22.86753505;8.244229149111442;-28.26898784;8.722926325511443;-27.14446029;8.350606299422491;-26.09305813;7.9675132461218245;-22.66328224;7.125737965051659;-31.06065037;9.467566377689211;-20.82975148;6.329255887140187;-16.87885419;5.30321818422974;-24.35051771;7.659154822400195;-20.06035069;6.223063293200168;-23.16295957;7.127269070844657;-13.40648379;4.211228250904147;-24.43659766;7.81872054786699;-28.16198383;8.563360600044733;-7.703642894;2.4456899305663695;-23.16295957;7.127269070844626;-24.28635968;7.712343397555808;-22.16605619;6.859637063834362;-21.93422092;6.489006168977939;-27.46907074;8.456983449733686;-21.80317018;6.489006168978033;-11.19372211;3.4568287349415523
r_0961;21.21583653;2.3525595804485055;23.65924159;2.6466295280045795;6.899873498;0.7675949911647748;19.13027735;2.1728501680531047;20.04127464;2.2694730724674734;21.66345522;2.336222361139842;12.84216975;1.4606966636960586;24.21818063;12.306012745328418;24.2146548;2.1401757294357773;19.91448931;2.5322689928438904;24.88500397;2.6793039666219167;24.46044733;2.5649434314612067;22.13040994;2.4472738904160374;19.89211215;2.188717098186876;27.13509385;2.908025036943288;16.87636761;2.001456621203105;14.44997016;1.6289129729085523;20.60043597;2.352559580448483;17.54642764;1.9114546591143944;20.49176794;2.1891873873617915;11.08181926;0.0;20.59641787;2.4015712383745313;23.43611318;2.630292308695895;4.526834274;0.7512096844070905;20.49176794;2.189187387361782;21.69322669;2.36889679975717;19.0396632;2.1069824630945204;17.1263185;1.9931407556577412;24.31577166;2.5976178700785755;17.58916565;1.9931407556577692;6.330973996;1.061787592355765
r_0718;0.114431673;0.0;0.830951783;0.0;0.013873076;0.0;0.229522342;0.0;0.003148833;0.0;0.045990352;0.0;0.0;0.0;0.039476262;0.05461723648954009;0.802838822;0.0;0.084315378;0.0;0.0;0.0;0.06208752;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2506512528815845;0.150081744;0.0;0.0;0.0;0.0;0.0;0.021850137;0.12074124064020164;0.319347589;0.0;0.472587065;0.0;0.330425859;0.07012092390349617;0.0;0.0;0.0;0.0;0.108117337;0.0;0.599415908;0.0;0.0;0.0;0.126441387;0.0;1.060163102;0.0
r_2131;0.900127714;1.0276684281459199;1.759542943;1.1561269816641644;0.267552182;0.33530846341948867;0.716232666;0.9491659787736494;0.901615948;0.6435939551407106;0.726847515;1.0205318418393539;0.609166852;0.6380722002544258;0.711584928;1.181606309075116;1.484156135;0.9348928061605176;0.797984829;1.1061708775181833;0.809431311;1.170400154277301;0.517056726;1.1204440501313135;0.854877875;0.0;0.615147664;0.9560971286946045;0.780838062;1.2703123625692612;1.239645202;1.0611201341600518;0.615675353;0.0;1.228119891;1.0276684281459103;0.650170113;0.8349805978685532;0.709791332;0.9563025650802264;2.122313264;0.6857843274286938;1.460589758;1.0490781870656334;1.646044776;1.1489903953575895;1.607285788;0.3982717949796075;0.709791332;0.9563025650802217;0.57937889;1.0348050144524863;0.971053857;0.7852796621920358;1.687167153;0.8706635294013952;0.76715333;1.134717222744461;0.933966208;0.8706635294014082;3.730573934;0.41785893542924823
r_0713;0.099106003;3.190455102808005;0.224773983;3.5892619906589407;0.03963736;0.4534262245682057;0.038936826;1.2835248530708796;0.073472778;1.3406009925190288;0.055988254;3.1682991645940217;0.0;0.8628457096087193;0.066805982;11.25007528615648;0.30978024;1.2642237274607984;0.054202743;3.4341704231613273;0.009015943;3.633573867086845;0.063105348;1.5151383603919513;0.047136123;1.4456297570830352;0.033061682;1.2928976112426445;0.002913575;1.717800179297889;0.469873398;38.28429605144708;0.0;0.0;0.19226158;3.1904551028081047;0.058178487;1.1291158481901773;0.0;1.2931754158759334;0.462652892;0.7640825380406318;0.341371561;3.2569229174497547;0.44755597;3.5671060524450757;0.598306824;0.44374725601441795;0.0;2.9688957206686615;0.0;3.212611041021966;0.113122769;1.2446161249992909;0.512437725;1.177368662215397;0.046826242;3.5227941760170833;0.103065668;2.7030244621011645;2.351361748;0.6272088078176251
r_0300;-0.900127714;1.3896810439263845;-1.759542943;1.563391174417189;-0.267552182;0.4534262245682057;-0.716232666;1.2835248530708796;-0.901615948;1.3406009925190288;-0.726847515;1.3800304811213442;-0.609166852;0.8628457096087193;-0.711584928;11.25007528615648;-1.484156135;1.2642237274607984;-0.797984829;1.4958372347818798;-0.809431311;1.582692300027276;-0.517056726;1.5151383603919513;-0.854877875;1.4456297570830352;-0.615147664;1.2928976112426445;-0.780838062;1.717800179297889;-1.239645202;1.1822809291812462;-0.615675353;0.9622124873235038;-1.228119891;1.3896810439263707;-0.701203873;1.1291158481901773;-0.709791332;1.2931754158759334;-2.122313264;0.7640825380406318;-1.460589758;1.4186327323415266;-1.646044776;1.5537406116121362;-1.607285788;0.44374725601441795;-0.709791332;1.2931754158759283;-0.57937889;1.3993316067314256;-0.971053857;1.2446161249992909;-1.687167153;1.177368662215397;-0.76715333;1.53443948600206;-0.933966208;1.177368662215413;-3.800584705;0.6272088078176251
r_1022;-0.520051086;0.0;-1.340507283;0.0;-0.131794223;0.0;-0.452896764;0.0;-0.516408669;0.0;-0.381919877;0.0;-0.39631321;0.0;-0.370469536;9.726086314626095;-1.112619062;0.0;-0.479794652;0.0;-0.439777656;0.0;-0.125192869;0.0;-0.454220826;0.0;-0.233435514;0.0;-0.37196639;0.0;-0.841083151;0.0;-0.328227571;0.0;-0.833787466;0.0;-0.3541743;0.0;-0.409691967;0.0;-1.963662273;0.0;-1.071165895;0.0;-1.210503731;0.0;-1.413750641;0.0;-0.409691967;0.0;-0.262030654;0.0;-0.632686637;0.0;-1.310960316;0.0;-0.385569271;0.0;-0.548266852;0.0;-3.571549469;0.0
r_0454;0.213537676;0.0;1.055725766;0.0;0.052519502;0.0;0.268459168;0.0;0.076621611;0.0;0.101978606;0.0;0.101358877;0.0;0.107294456;53.88630066566161;1.112619062;11.422190822932208;0.138518121;0.0;0.009015943;0.0;0.125192869;13.674936580754752;0.047136123;0.0;0.033061682;0.0;0.002913575;15.520228751770537;0.469873398;0.0;0.0;0.0;0.343324251;0.0;0.058178487;35.07675748151178;0.0;11.68376771200701;0.769504809;0.0;0.680740943;0.0;0.920143035;0.0;0.941713699;0.0;0.0;0.0;0.0;0.0;0.222241192;0.0;1.111853633;0.0;0.046826242;0.0;0.229507055;0.0;3.521541776;0.0
r_0366;24.60076628;8.380179195804763;28.06725264;9.4277015952804;8.000801181;2.734291462466018;21.50952234;7.740026618347354;23.55852148;8.084212270494433;24.62683353;8.321983506945028;15.06091557;5.5213328614347965;27.11310651;18.91618121422335;27.73379817;7.623635240627889;22.84545246;9.020331773262118;28.18684259;9.544092972999895;27.12512156;9.136723150981556;25.6656192;8.717566140871465;22.80454579;7.7965470648063295;30.42160629;10.358832617036434;20.73011097;7.316320419286287;17.04495723;5.80245799655719;24.5800545;8.380179195804685;19.9695106;6.808895596591315;23.33605442;7.798222307207169;13.49958437;4.607669190841601;24.62280033;8.554766262384083;27.77750622;9.369505906420592;7.625756798;2.6759244787140295;23.33605442;7.798222307207141;24.32420855;8.4383748846645;22.36226913;7.505395718727753;21.10426044;7.099874040890075;27.57966038;9.253114528701154;21.05727225;7.099874040890177;11.26373288;3.7822507730609978
