;ADH3 (YMR083W);ALD5 (YER073W);ALD6 (YPL061W);COX5A (YNL052W);CTP1 (YBR291C);DAL7 (YIR031C);FUM1 (YPL262W);GCV2 (YMR189W);GLY1 (YEL046C);GND2 (YGR256W);GPD1 (YDL022W);ICL1 (YER065C);IDP1 (YDL066W);IDP2 (YLR174W);LSC1 (YOR142W);MAE1 (YKL029C);MDH1 (YKL085W);MDH3 (YDL078C);OAC1 (YKL120W);PCK1 (YKR097W);PDA1 (YER178W);PGM1 (YKL127W);PGM2 (YMR105C);RPE1 (YJL121C);SDH1 (YKL148C);SER33 (YIL074C);SFC1 (YJR095W);SOL3 (YHR163W);SOL4 (YGR248W);TAL1 (YLR354C);ZWF1 (YNL241C)
r_0001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0005;1.547897198144949;1.7413843479130748;0.5050491158687402;1.4296550510644135;1.4932293487198707;1.5371479120467246;0.9610888410521933;1.6974961767994388;1.4081564788679646;1.6661393452254747;1.7628829201095304;1.6876379174219214;1.6102157112408126;1.4400949042784752;1.9133729254847276;1.3168844359632839;1.071769464678752;1.547897198144935;1.2576664734927612;1.4404043371626536;0.851080549831673;1.5801450564396455;1.7306350618148367;0.49426819000750066;1.4404043371626472;1.5586464842431742;1.386316537217214;1.3114129039839018;1.7091364896183925;1.3114129039839215;0.6986169671924867
r_0006;1.547897198144949;1.7413843479130748;0.5050491158687402;1.4296550510644135;1.4932293487198707;1.5371479120467246;0.9610888410521933;1.6974961767994388;1.4081564788679646;1.6661393452254747;1.7628829201095304;1.6876379174219214;1.6102157112408126;1.4400949042784752;1.9133729254847276;1.3168844359632839;1.071769464678752;1.547897198144935;1.2576664734927612;1.4404043371626536;0.851080549831673;1.5801450564396455;1.7306350618148367;0.49426819000750066;1.4404043371626472;1.5586464842431742;1.386316537217214;1.3114129039839018;1.7091364896183925;1.3114129039839215;0.6986169671924867
r_0007;0.09043495262337867;0.10173932170130143;0.029507187506254386;0.08352672707575837;0.08724101676077496;0.0898069321190499;0.056151031161227015;0.09917518198960414;0.08227068606710086;0.09734317817099837;0.10299536270995933;0.09859921917965578;0.09407587385906405;0.08413666915197647;0.11178764977056524;0.07693817245714286;0.06261747929873215;0.09043495262337785;0.07347839900649458;0.08415474758008806;0.049723863635741904;0.09231901413636631;0.10111130119697186;0.0288773184680096;0.08415474758008767;0.09106297312770747;0.08099470075564089;0.07661850152813948;0.0998552601883146;0.07661850152814063;0.04081627152349476
r_0012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0014;0.0013503861703943422;0.0015191844416936413;0.00044060506231058584;0.0012472316712669803;0.0013026939154323863;0.0013410084886554964;0.000838454311457236;0.0014808963826501975;0.001228476307789289;0.0014535406695216954;0.0015379398051713386;0.001472296032999385;0.0014047528675787844;0.001256339403626798;0.0016692273495152276;0.001148850538952812;0.0009350121343249597;0.00135038617039433;0.0010971887634453944;0.0012566093530058397;0.0007424830316649244;0.0013785192156108997;0.0015098067599547834;0.0004311997780291026;0.001256609353005834;0.0013597638521331886;0.0012094231334552712;0.0011440771721396394;0.001491051396477096;0.0011440771721396566;0.0006094737376811436
