Reactions;ADH3 (YMR083W);ALD5 (YER073W);ALD6 (YPL061W);COX5A (YNL052W);CTP1 (YBR291C);DAL7 (YIR031C);FUM1 (YPL262W);GCV2 (YMR189W);GLY1 (YEL046C);GND2 (YGR256W);GPD1 (YDL022W);ICL1 (YER065C);IDP1 (YDL066W);IDP2 (YLR174W);LSC1 (YOR142W);MAE1 (YKL029C);MDH1 (YKL085W);MDH3 (YDL078C);OAC1 (YKL120W);PCK1 (YKR097W);PDA1 (YER178W);PGM1 (YKL127W);PGM2 (YMR105C);RPE1 (YJL121C);SDH1 (YKL148C);SER33 (YIL074C);SFC1 (YJR095W);SOL3 (YHR163W);SOL4 (YGR248W);TAL1 (YLR354C);ZWF1 (YNL241C)
r_0001;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
r_0002;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
r_0003;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
r_0004;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
r_0005;1,5479;1,7414;0,5050;1,4296;1,4932;1,5371;0,9611;1,6975;1,4081;1,6661;1,7629;1,6876;1,6102;1,4401;1,9134;1,3169;1,0718;1,5479;1,2577;1,4404;0,8511;1,5801;1,7306;0,4943;1,4404;1,5586;1,3863;1,3114;1,7091;1,3114;0,6986
r_0006;1,5479;1,7414;0,5050;1,4296;1,4932;1,5371;0,9611;1,6975;1,4081;1,6661;1,7629;1,6876;1,6102;1,4401;1,9134;1,3169;1,0718;1,5479;1,2577;1,4404;0,8511;1,5801;1,7306;0,4943;1,4404;1,5586;1,3863;1,3114;1,7091;1,3114;0,6986
r_0007;0,0904;0,1017;0,0295;0,0835;0,0872;0,0898;0,0562;0,0992;0,0823;0,0973;0,1030;0,0986;0,0941;0,0841;0,1118;0,0769;0,0626;0,0904;0,0735;0,0842;0,0497;0,0923;0,1011;0,0289;0,0842;0,0911;0,0810;0,0766;0,0999;0,0766;0,0408
r_0012;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
r_0013;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
r_0014;0,0014;0,0015;0,0004;0,0012;0,0013;0,0013;0,0008;0,0015;0,0012;0,0015;0,0015;0,0015;0,0014;0,0013;0,0017;0,0011;0,0009;0,0014;0,0011;0,0013;0,0007;0,0014;0,0015;0,0004;0,0013;0,0014;0,0012;0,0011;0,0015;0,0011;0,0006
r_0015;0,0014;0,0015;0,0004;0,0012;0,0013;0,0013;0,0008;0,0015;0,0012;0,0015;0,0015;0,0015;0,0014;0,0013;0,0017;0,0011;0,0009;0,0014;0,0011;0,0013;0,0007;0,0014;0,0015;0,0004;0,0013;0,0014;0,0012;0,0011;0,0015;0,0011;0,0006
r_0016;0,2628;0,2957;0,0858;0,2428;0,2536;0,2610;0,1632;0,2882;0,2391;0,2829;0,2994;0,2866;0,2734;0,2445;0,3249;0,2236;0,1820;0,2628;0,2136;0,2446;0,1445;0,2683;0,2939;0,0839;0,2446;0,2647;0,2354;0,2227;0,2902;0,2227;0,1186
r_0017;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
r_0018;0,3904;0,4392;0,1274;0,3606;0,3766;0,3877;0,2424;0,4281;0,3551;0,4202;0,4446;0,4256;0,4061;0,3632;0,4826;0,3321;0,2703;0,3904;0,3172;0,3633;0,2146;0,3985;0,4365;0,1247;0,3633;0,3931;0,3496;0,3307;0,4310;0,3307;0,1762
r_0019;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
r_0020;0,3605;0,4056;0,1176;0,3330;0,0000;0,3580;0,2238;0,3954;0,3280;0,3880;0,4106;0,3931;0,3750;0,3354;0,4456;0,4935;0,2496;0,3605;0,2929;0,3355;0,1982;0,3680;0,4031;0,1151;0,3355;0,3630;0,3229;0,3054;0,3981;0,3054;0,1627
r_0021;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
r_0022;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
