Reaction;Reaction_name;Yeast7_ID;glucose rel flux;glucose exp flux;galactose rel flux;galactose exp flux;glycerol rel flux;glycerol exp flux;ethanol rel flux;ethanol exp flux
D-Glucose(ex) <==> D-Glucose-6-phosphate;R01786;r_0534;100,0000;1,5000;X;X;X;X;X;X
galactose <==> D-Glucose-6-phosphate;R01092;r_0458;X;X;100,0000;1,5000;X;X;X;X
Glycerol(ex) <==> D-Glyceraldehyde-3-phosphate ;R01041;r_0164;X;X;X;X;100,0000;2,5000;X;X
Pyruvate <==> Phosphoenolpyruvate;R00200;r_0962;-171,0000;-2,5650;-157,0000;-2,3550;-64,0000;-1,6000;X;X
Pyruvate-mit + CoA <==> Acetyl-CoA-mit + CO2-mit;R00209;r_0961;6,0000;0,0900;9,0000;0,1350;31,0000;0,7750;X;X
Isocitrate <==> 2-Oxoglutarate + CO2-mit;R00267;r_2131;6,0000;0,0900;8,0000;0,1200;29,0000;0,7250;6,0000;0,3000
(S)-Malate-mit <==> Oxaloacetate-mit;R00342;r_0713;X;X;1,0000;0,0150;21,0000;0,5250;37,0000;1,8500
Citrate + CoA <==> Acetyl-CoA-mit + Oxaloacetate-mit;R00351;r_0300;-6,0000;-0,0900;-8,0000;-0,1200;-29,0000;-0,7250;-6,0000;-0,3000
Succinate-mit + CoA <==> Succinyl-CoA;R00405;r_1022;-3,0000;-0,0450;-3,0000;-0,0450;-23,0000;-0,5750;-2,0000;-0,1000
Succinate-mit <==> Fumarate;R00402;r_0454;X;X;3,0000;0,0450;23,0000;0,5750;43,0000;2,1500
D-Glyceraldehyde-3-phosphate <==> Glycerone-phosphate;R01015;r_1054;-91,0000;-1,3650;-84,0000;-1,2600;-21,0000;-0,5250;-11,0000;-0,5500
D-Glyceraldehyde-3-phosphate <==> 3-Phospho-D-glyceroyl-phosphate;R01061;r_0486;-172,0000;-2,5800;-160,0000;-2,4000;-61,0000;-1,5250;-25,0000;-1,2500
D-Fructose-1,6-bisphosphate <==> Glycerone-phosphate + D-Glyceraldehyde-3-phosphate;R01070;r_0450;91,0000;1,3650;84,0000;1,2600;21,0000;0,5250;11,0000;0,5500
