Reaction;Reaction_name;Yeast7_ID;batch rel flux;batch exp flux;chemostat rel flux;chemostat exp flux
D-Glucose(ex) <==> D-Glucose-6-phosphate;R01786;r_0534;100,0000;15,9000;100,0000;1,1700
Pyruvate <==> Phosphoenolpyruvate;R00200;r_0962;-178,6000;-28,3974;-122,1000;-1,4286
Pyruvate-mit + CoA <==> Acetyl-CoA-mit + CO2-mit;R00209;r_0961;0,1000;0,0159;39,9000;0,4668
Isocitrate <==> 2-Oxoglutarate + CO2-mit;R00267;r_2131;2,5000;0,3975;59,9000;0,7008
(S)-Malate-mit <==> Oxaloacetate-mit;R00342;r_0713;0,0000;0,0000;-49,1000;-0,5745
Citrate + CoA <==> Acetyl-CoA-mit + Oxaloacetate-mit;R00351;r_0300;-2,5000;-0,3975;-59,9000;-0,7008
Succinate-mit + CoA <==> Succinyl-CoA;R00405;r_1022;0,0000;0,0000;-49,1000;-0,5745
Succinate-mit <==> Fumarate;R00402;r_0454;0,0000;0,0000;49,1000;0,5745
D-Glyceraldehyde-3-phosphate <==> Glycerone-phosphate;R01015;r_1054;-91,0000;-14,4690;-60,3000;-0,7055
D-Glyceraldehyde-3-phosphate <==> 3-Phospho-D-glyceroyl-phosphate;R01061;r_0486;179,9000;28,6041;127,1000;1,4871
D-Fructose-1,6-bisphosphate <==> Glycerone-phosphate + D-Glyceraldehyde-3-phosphate;R01070;r_0450;91,0000;14,4690;60,3000;0,7055
(S)-Malate-mit <==> Fumarate;R01082;r_0452;0,0000;0,0000;-49,1000;-0,5745
Citrate <==> Isocitrate;R01324;r_0302;2,5000;0,3975;59,9000;0,7008
3-Phospho-D-glycerate <==> 3-Phospho-D-glyceroyl-phosphate;R01512;r_0892;-179,9000;-28,6041;-127,1000;-1,4871
2-Phospho-D-glycerate <==> 3-Phospho-D-glycerate;R01518;r_0893;-179,9000;-28,6041;-127,1000;-1,4871
6-Phospho-D-gluconate <==> D-Ribulose-5-phosphate + CO2;R01528;r_0889;16,2000;2,5758;44,2000;0,5171
Sedoheptulose-7-phosphate + D-Glyceraldehyde-3-phosphate <==> D-Ribose-5-phosphate + D-Xylulose-5-phosphate;R01641;r_1049;-4,7000;-0,7473;-12,1000;-0,1416
Sedoheptulose-7-phosphate + D-Glyceraldehyde-3-phosphate <==> D-Erythrose-4-phosphate + D-Fructose-6-phosphate;R01827;r_1048;10,0000;1,5900;26,7000;0,3124
D-Fructose-6-phosphate + D-Glyceraldehyde-3-phosphate <==> D-Erythrose-4-phosphate + D-Xylulose-5-phosphate;R01830;r_1050;-10,0000;-1,5900;-26,7000;-0,3124
D-Glucose-6-phosphate <==> D-Glucono-1,5-lactone-6-phosphate;R02736;r_0466;16,2000;2,5758;44,2000;0,5171
D-Glucose-6-phosphate <==> D-Fructose-6-phosphate;R02740;r_0467;81,0000;12,8790;33,6000;0,3931
D-Fructose-6-phosphate <==> D-Fructose-1,6-bisphosphate;R04779;r_0886;91,0000;14,4690;60,3000;0,7055
Pyruvate <==> Acetaldehyde;R00750;r_0959;169,3000;26,9187;45,1000;0,5277
Ethanol <==> Acetaldehyde;R00746;r_0163;158,7000;25,2333;0,0000;0,0000
Acetaldehyde <==> Acetate;R00634;r_2116;10,6000;1,6854;45,8000;0,5359
Acetate <==> Acetyl-CoA;R00229;r_0112;7,3000;1,1607;45,7000;0,5347
Pyruvate + CO2 <==> Oxaloacetate;R00344;r_0958;8,9000;1,4151;27,3000;0,3194
2-Phospho-D-glycerate <==> Phosphoenolpyruvate;R00658;r_0366;179,9000;28,6041;127,1000;1,4871
2-Oxoglutarate + CoA <==> Succinyl-CoA + CO2-mit;R08549;r_0832;0,0000;0,0000;49,1000;0,5745
D-Glucono-1,5-lactone-6-phosphate <==> 6-Phospho-D-gluconate;R02035;r_0091;16,2000;2,5758;44,2000;0,5171
(S)-Malate-mit <==> Pyruvate + CO2;R00214;r_0718;4,0000;0,6360;6,7000;0,0784
Oxaloacetate <==> Oxaloacetate-mit;transport;r_1239;8,5000;1,3515;158,7000;1,8568
