,fermentative exp flux,Sim Flux
r_0534,8.23,8.23
r_0962,-13.5466,-10.929684466773319
r_0961,1.9505,0.6412796705694719
r_2131,1.8847,0.28013145060668465
r_0713,1.3826,0.3788092532573195
r_0300,-1.8847,-0.3788092532573195
r_1022,-1.3826,-0.0
r_0454,1.3826,-0.0
r_1054,-6.6252,-6.711075359832181
r_0486,14.0733,13.384863180483302
r_0450,7.1683,6.71449308322865
r_0452,-1.3826,-0.1396515188757803
r_0302,1.8847,1000.0
r_0892,-14.0733,-13.384863180483302
r_0893,-13.777,-11.126228019258408
r_0889,1.2427,0.15662580324629616
r_1049,-0.4362,-0.047006852502369384
r_1048,0.4362,0.047006852502369384
r_1050,-0.3127,-0.051264923740180116
r_0466,1.2427,0.15662580324629616
r_0467,6.4112,7.019304357669317
r_0886,7.1683,6.71449308322865
r_0959,10.1641,8.90951085609894
r_2116,1.325,0.0
r_0112,0.9135,0.08951663922509366
r_0366,13.777,11.126228019258408
r_0832,1.3826,0.0
r_0091,1.2427,0.15662580324629616
r_0718,1.7201,0.0
r_0958,2.5842,0.851130998852895
r_2034,0.7983,1.0090116905395492
r_1239,2.2303,0.0
r_4041,0.4,0.3718190550228888
