,fermentative exp flux,maximum,minimum
r_0534,8.23,8.230260561654607,8.229820863888769
r_0962,-13.5466,-10.930236348578386,-10.929354249010089
r_0961,1.9505,0.6415896453374685,0.640904742528924
r_2131,1.8847,0.2810499177648189,0.2769041963553377
r_0713,1.3826,1000.0,0.3778133227728784
r_0300,-1.8847,-0.37907068490744456,-0.3787194759001707
r_1022,-1.3826,-0.0003582721896400187,-0.0
r_0454,1.3826,-9.71678143242874,-0.0
r_1054,-6.6252,-6.711812570563413,-6.710522790514278
r_0486,14.0733,13.38561596956485,13.38432618942723
r_0450,7.1683,6.715230259769798,-0.00035827222265982783
r_0452,-1.3826,-0.13991334133893618,-0.13865798245188266
r_0302,1.8847,1000.0,-999.6211945387665
r_0892,-14.0733,-13.385615969432267,-13.38432618943354
r_0893,-13.777,-11.126777933662261,-11.125895834019218
r_0889,1.2427,0.1583275582695984,0.15445821862840603
r_1049,-0.4362,-0.04757415632300544,-0.04628437628470383
r_1048,0.4362,0.04757415632300544,-6.6689458834025945
r_1050,-0.3127,-0.050696636181880354,-0.051986416220183074
r_0466,1.2427,0.15832755852333236,0.15445821838199736
r_0467,6.4112,7.021482494096282,7.01761315417427
r_0886,7.1683,6.715230259796817,0.0
r_0959,10.1641,8.910080256520343,8.908603740670467
r_2116,1.325,0.0005607738815295632,0.0
r_0112,0.9135,0.08999343955275427,0.08901967390074689
r_0366,13.777,11.126777933677465,11.125895834023906
r_0832,1.3826,0.0002500938944846867,0.0
r_0091,1.2427,0.15832755890232905,0.15445821837909884
r_0718,1.7201,0.0009212716648789865,0.0
r_0958,2.5842,0.854346928831426,0.848542918769451
r_2034,0.7983,1.0115811499166316,0.0
r_1239,2.2303,0.00099213846922519,0.0
r_4041,0.4,0.3718153329735029,0.3718153329735029
