,fermentative exp flux,Sim Flux
r_0534,8.23,8.23
r_0962,-13.5466,-10.929999109921216
r_0961,1.9505,0.6412732577727891
r_2131,1.8847,0.28012864929217984
r_0713,1.3826,0.3788054651647865
r_0300,-1.8847,-0.3788054651647865
r_1022,-1.3826,-0.0
r_0454,1.3826,-0.0
r_1054,-6.6252,-6.710522769092555
r_0486,14.0733,13.38432615186534
r_0450,7.1683,6.6663662958922725
r_0452,-1.3826,-0.1396501223608665
r_0302,1.8847,0.28012864929217984
r_0892,-14.0733,-13.38432615186534
r_0893,-13.777,-11.126540696970793
r_0889,1.2427,0.15832757694574956
r_1049,-0.4362,-0.04757416241963114
r_1048,0.4362,0.0
r_1050,-0.3127,-0.050696631105157264
r_0466,1.2427,0.15832757694574956
r_0467,6.4112,7.017613124668253
r_0886,7.1683,6.6663662958922725
r_0959,10.1641,8.909845700983006
r_2116,1.325,0.0
r_0112,0.9135,0.08951574406052037
r_0366,13.777,11.126540696970793
r_0832,1.3826,0.0
r_0091,1.2427,0.15832757694574956
r_0718,1.7201,0.0
r_0958,2.5842,0.8485429276086369
r_2034,0.7983,1.0115811603569358
r_1239,2.2303,0.0
r_4041,0.4,0.3718153368323386
