,oxidative exp flux,Sim Flux
r_0534,1.56,1.56
r_0962,-1.9391,-0.8297417757855188
r_0961,0.3401,0.2548606222469393
r_2131,1.1404,0.1113307468331453
r_0713,0.989,0.1505487803681183
r_0300,-1.1404,-0.1505487803681183
r_1022,-0.989,-0.0
r_0454,0.989,-1.3601998135391669
r_1054,-0.9095,-0.9698835956103184
r_0486,2.092,1.9114087196813894
r_0450,0.9391,0.9662158663949605
r_0452,-0.989,-0.05550075815899866
r_0302,1.1404,0.1505487803681183
r_0892,-2.092,-1.9114087196813894
r_0893,-2.0077,-0.9078527498872013
r_0889,0.8533,0.021454022285876007
r_1049,-0.2917,-0.005084045022870857
r_1048,0.2917,0.0
r_1050,-0.2543,-0.03397144202797053
r_0466,0.8533,0.021454022285876007
r_0467,0.3931,1.1196341342013345
r_0886,0.9391,0.9662158663949605
r_0959,1.1435,0.026876665563014907
r_2116,1.1482,0.0
r_0112,1.1482,0.03534385969094987
r_0366,2.0077,0.9078527498872013
r_0832,0.989,1.1821562482282675e-06
r_0091,0.8533,0.021454022285876007
r_0718,0.1123,0.0
r_0958,0.3713,0.3139215917170166
r_2034,0.4212,0.42534351235080653
r_1239,0.2621,0.0
r_4041,0.15,0.14776953102853344
