,respiro-fermentative exp flux,maximum,minimum
r_0534,4.9,4.90022318181565,4.899846562500198
r_0962,-7.5068,-4.277871738089465,-4.277123469585096
r_0961,2.4255,0.5664573928061012,0.5658298581239024
r_2131,2.6656,0.30133198005708306,0.24665343722289818
r_0713,2.3128,1000.0,0.3339592105579676
r_0300,-2.6656,-0.3347209668486797,-0.33428918367567645
r_1022,-2.3128,-0.0003068750160495348,-0.0
r_0454,2.3128,-11.048781644376337,-0.0
r_1054,-3.5819,-3.6054579089812786,-3.6051662695925075
r_0486,7.8302,7.131822237777669,7.131406661110555
r_0450,3.8563,3.6086787560904465,-0.00030687499968445886
r_0452,-2.3128,-0.12361869501921774,-0.12277698076382138
r_0302,2.6656,1000.0,-999.3973769431134
r_0892,-7.8302,-7.131822237772955,-7.13140666110983
r_0893,-7.6881,-4.4513573331798755,-4.450609064596096
r_0889,1.4504,0.0005260714073758166,0.0
r_1049,-0.4998,0.004416136415322253,0.004605057055176685
r_1048,0.4998,-0.004284618562321929,-3.613270249608081
r_1050,-0.4165,-0.09115893392246903,-0.09137661861259572
r_0466,1.4504,0.0005260714103481057,0.0
r_0467,2.94,3.969590780730046,3.9690647093019367
r_0886,3.8563,3.6086787560591578,0.0
r_0959,4.0621,2.4945655640339313,2.4930305325727833
r_2116,1.6758,0.0012275001447823453,0.0
r_0112,0.9555,0.07942395612755444,0.07865108575966302
r_0366,7.6881,4.4513573330964284,4.4506090646005525
r_0832,2.3128,0.0002476004591954714,0.0
r_0091,1.4504,0.0005260713955230756,0.0
r_0718,0.7105,0.0540647928416913,0.0
r_0958,1.3426,0.6984518624480586,0.697122070891055
r_2034,2.0972,0.9452593747209217,0.0
r_1239,1.0633,0.00040916663760981464,0.0
r_4041,0.3,0.3281982501216944,0.3281982501216944
