,respiro-fermentative exp flux,Sim Flux
r_0534,4.9,4.9
r_0962,-7.5068,-4.277434282961073
r_0961,2.4255,0.5660491013559372
r_2131,2.6656,0.24726718722803398
r_0713,2.3128,0.33437100281045457
r_0300,-2.6656,-0.33437100281045457
r_1022,-2.3128,-0.0
r_0454,2.3128,-0.0
r_1054,-3.5819,-3.605355115744498
r_0486,7.8302,7.131713536106551
r_0450,3.8563,3.608371881085077
r_0452,-2.3128,-0.12326798076337742
r_0302,2.6656,0.3343710028104546
r_0892,-7.8302,-7.131713536106551
r_0893,-7.6881,-4.450919877975645
r_0889,1.4504,0.0
r_1049,-0.4998,0.004591493519208394
r_1048,0.4998,-0.004591493519208394
r_1050,-0.4165,-0.09133429102649446
r_0466,1.4504,0.0
r_0467,2.94,3.969590780728698
r_0886,3.8563,3.608371881085077
r_0959,4.0621,2.4942593454411157
r_2116,1.6758,0.0012248742402800328
r_0112,0.9555,0.07901478946333389
r_0366,7.6881,4.450919877975645
r_0832,2.3128,2.625586000977254e-06
r_0091,1.4504,0.0
r_0718,0.7105,0.0
r_0958,1.3426,0.6972243625595101
r_2034,2.0972,0.9446940481078705
r_1239,1.0633,0.0
r_4041,0.3,0.32819825012215675
