,HXK2 exp flux,Sim Flux
r_0534,1.5,1.5
r_0962,-2.5154,-1.8362436658216719
r_0961,0.7154,0.1296095136197909
r_2131,0.701,0.0566175768997898
r_0300,0.0,-0.07656142136200533
r_1022,-0.6462,-0.0
r_0454,0.6462,-1.4362824357613329
r_1054,-1.2779,-1.2022130309668704
r_0486,2.5413,2.3876858240221908
r_0450,1.2779,0.0
r_0452,-0.6462,-0.028225072879227764
r_0302,0.701,1000.0
r_0892,-2.5413,-2.3876858240221908
r_0893,-2.5413,-1.8759672301443613
r_0889,0.4125,0.004043681704770372
r_1049,-0.1356,-0.00029656460746485536
r_1048,0.1356,-1.2026072249900739
r_1050,0.124,-0.01956521755387982
r_0466,0.4125,0.004043681704770372
r_0467,1.0183,1.282917475127631
r_0886,1.2779,0.0
r_0959,1.601,1.4279448671485213
r_2116,0.1817,0.0
r_2115,1.4221,1000.0
r_0112,0.101,0.01809227487404274
r_0366,2.5413,1.8759672301443613
r_0832,0.6462,0.0
r_0091,0.4125,0.004043681704770372
r_0958,0.2365,0.17202272245756445
r_2034,0.6548,0.20393210708111242
r_1239,0.101,0.0
