,HXK2 exp flux,Sim Flux
r_0534,1.5,1.5
r_0962,-2.5154,-1.8363072585849562
r_0961,0.7154,0.12960821752465831
r_2131,0.701,0.05661701072402234
r_0300,0.0,-0.0765606557477896
r_1022,-0.6462,6.01183011157691e-07
r_0454,0.6462,-0.0
r_1054,-1.2779,-1.2021013464366537
r_0486,2.5413,2.3875772847640406
r_0450,1.2779,1.2023808741180104
r_0452,-0.6462,-0.028224790628490967
r_0302,0.701,0.05661701072402234
r_0892,-2.5413,-2.3875772847640406
r_0893,-2.5413,-1.8760304256720097
r_0889,0.4125,0.0043876284676670485
r_1049,-0.1356,-0.0004112240417252222
r_1048,0.1356,0.0
r_1050,0.124,-0.019450359501800296
r_0466,0.4125,0.0043876284676670485
r_0467,1.0183,1.282575658753162
r_0886,1.2779,1.2023808741180104
r_0959,1.601,1.428012542899779
r_2116,0.1817,0.0
r_2115,1.4221,1.4142264222252305
r_0112,0.101,0.018092093951294422
r_0366,2.5413,1.8760304256720097
r_0832,0.6462,0.0
r_0091,0.4125,0.0043876284676670485
r_0958,0.2365,0.17149964543077317
r_2034,0.6548,0.2044514245596215
r_1239,0.101,0.0
