,HXK2 exp flux,Sim Flux
r_0534,1.5,1.5
r_0962,-2.5154,-1.8363072585850013
r_0961,0.7154,0.12960821752465146
r_2131,0.701,0.0566170107240206
r_0300,0.0,-0.07656065574779196
r_1022,-0.6462,-0.0
r_0454,0.6462,-0.0
r_1054,-1.2779,-1.202101346436571
r_0486,2.5413,2.3875772847639594
r_0450,1.2779,1.2023808741178468
r_0452,-0.6462,-0.028224790628502888
r_0302,0.701,0.0566170107240206
r_0892,-2.5413,-2.3875772847639594
r_0893,-2.5413,-1.8760304256720473
r_0889,0.4125,0.004387628467918136
r_1049,-0.1356,-0.0004112240418064454
r_1048,0.1356,0.0
r_1050,0.124,-0.01945035950171652
r_0466,0.4125,0.004387628467918136
r_0467,1.0183,1.282575658752915
r_0886,1.2779,1.2023808741178468
r_0959,1.601,1.4280125428998351
r_2116,0.1817,0.0
r_2115,1.4221,1.4142264222252867
r_0112,0.101,0.018092093951294005
r_0366,2.5413,1.8760304256720473
r_0832,0.6462,0.0
r_0091,0.4125,0.004387628467918136
r_0958,0.2365,0.1714996454303884
r_2034,0.6548,0.20445142455999005
r_1239,0.101,0.0
