,wild type exp flux,Sim Flux
r_0534,1.5,1.5
r_0962,-2.4723,-2.3862462312511044
r_0961,0.0335,0.08467101211948629
r_2131,0.0576,0.0369870035460578
r_0300,0.0576,-0.050015873487836315
r_1022,-0.0147,-0.0
r_0454,0.0147,-0.0
r_1054,-1.3246,-1.276161925935236
r_0486,2.4938,2.570688298210319
r_0450,1.3246,0.0
r_0452,-0.0147,-0.01843881225293205
r_0302,0.0576,0.0369870035460578
r_0892,-2.4938,-2.570688298210319
r_0893,-2.4938,-2.41219675218325
r_0889,0.3228,0.09054306146341698
r_1049,-0.1058,-0.02949421044648859
r_1048,0.1058,-1.2471189727364254
r_1050,0.0951,0.016518949980415698
r_0466,0.3228,0.09054306146341698
r_0467,1.1237,1.270283401286223
r_0886,1.3246,0.0
r_0959,2.2808,2.119513708573482
r_2116,0.1754,0.0
r_2115,2.108,2.110507452542738
r_0112,0.1179,0.011819280717486103
r_0366,2.4938,2.41219675218325
r_0832,0.0147,0.0
r_0091,0.3228,0.09054306146341698
r_0958,0.1232,0.11237861798292698
r_2034,0.0509,0.0
r_1239,0.0817,0.0
