,wild type exp flux,maximum,minimum
r_0534,1.5,1.5000344031182982,1.4999757860254523
r_0962,-2.4723,-2.3863190948141164,-2.386201743623384
r_0961,0.0335,0.08471194035291774,0.0846203537987088
r_2131,0.0576,0.03710827347457606,0.03655038939824953
r_0300,0.0576,-0.05005039199967756,-0.050004020302424845
r_1022,-0.0147,-4.7304286403482276e-05,-0.0
r_0454,0.0147,-0.8637715925257615,-0.0
r_1054,-1.3246,-1.2762592602767506,-1.2760872761754591
r_0486,2.4938,2.5707876873084006,2.570615703147529
r_0450,1.3246,1.2767105127637914,-4.7304277768889236e-05
r_0452,-0.0147,-0.01847338199377191,-0.018304519697998206
r_0302,0.0576,1000.0,-999.9499846266708
r_0892,-2.4938,-2.570787687327608,-2.570615703160297
r_0893,-2.4938,-2.412269356241237,-2.4121520050504106
r_0889,0.3228,0.09076775420253735,0.09024979911995956
r_1049,-0.1058,-0.029569114918419938,-0.029396463065673117
r_1048,0.1058,0.029569114918419938,-1.2473164064241251
r_1050,0.0951,0.016593984204992505,0.016421332352245077
r_0466,0.3228,0.0907677542361953,0.09024979872181235
r_0467,1.1237,1.270570986279963,1.2700550339127852
r_0886,1.3246,1.2767105128641913,0.0
r_0959,2.2808,2.1195888824685083,2.119391567753496
r_2116,0.1754,7.40416268863852e-05,0.0
r_2115,2.108,1000.0,0.0
r_0112,0.1179,0.011882234865035042,0.01175366429403449
r_0366,2.4938,2.412269356221527,2.4121528887157178
r_0832,0.0147,3.302098233609607e-05,0.0
r_0091,0.3228,0.09076775436115514,0.09025686803344733
r_0958,0.1232,0.1128032334395681,0.11202881295928249
r_2034,0.0509,0.13356356769525266,0.0
r_1239,0.0817,0.0001309964332800867,0.0
