,wild type exp flux,Sim Flux
r_0534,1.5,1.5
r_0962,-2.4723,-2.386287774988635
r_0961,0.0335,0.08467016540936803
r_2131,0.0576,0.03698663367602254
r_0300,0.0576,-0.050015373329101304
r_1022,-0.0147,-0.0
r_0454,0.0147,-0.0
r_1054,-1.3246,-1.2760889649162448
r_0486,2.4938,2.570617391927596
r_0450,1.3246,1.2469711027472432
r_0452,-0.0147,-0.018438627864827854
r_0302,0.0576,0.03698663367602254
r_0892,-2.4938,-2.570617391927596
r_0893,-2.4938,-2.4122380364155718
r_0889,0.3228,0.09076775423197903
r_1049,-0.1058,-0.029569114904107185
r_1048,0.1058,0.0
r_1050,0.0951,0.016593984190638733
r_0466,0.3228,0.09076775423197903
r_0467,1.1237,1.2700601002530334
r_0886,1.3246,1.2469711027472432
r_0959,2.2808,2.1195579196362373
r_2116,0.1754,0.0
r_2115,2.108,2.110551753668054
r_0112,0.1179,0.011819162524678918
r_0366,2.4938,2.4122380364155718
r_0832,0.0147,0.0
r_0091,0.3228,0.09076775423197903
r_0958,0.1232,0.11203690339800923
r_2034,0.0509,0.13356356769757172
r_1239,0.0817,0.0
