,mannose exp flux,Sim Flux
r_0723,12.8,12.462479855453784
r_0962,-22.144,-20.39164537778897
r_0961,0.384,0.7201556082789358
r_2131,0.384,0.31458698048320977
r_0713,0.128,0.42540192792788784
r_0300,-0.384,-0.42540192792788784
r_1022,0.128,-0.0
r_1054,-11.776,-10.893815668321714
r_0486,22.144,21.946192938234326
r_0450,22.144,10.644429752599848
r_0892,-22.144,-21.946192938234326
r_0889,1.024,0.7771966893107268
r_1049,-0.384,-0.25322401130566885
r_1048,0.384,0.0
r_1050,-0.256,0.14286503059174976
r_0466,1.024,0.7771966893107268
r_0467,-1.664,-1.9609147158937357
r_0886,11.776,10.644429752599848
r_2116,1.792,0.0
r_0112,0.512,0.10052698180233291
r_0091,1.024,0.7771966893107268
r_0958,0.896,0.9558181715937653
r_2034,1.28,1.1331178284753478
r_4041,0.32,0.4175519512444914
