,mannose exp flux,maximum,minimum
r_0723,12.8,12.462515015173086,12.462282064711012
r_0962,-22.144,-20.39226513982671,-20.391274543996037
r_0961,0.384,0.7205037092589919,0.7197345649449289
r_2131,0.384,0.3156184170406377,0.310962781346487
r_0713,0.128,1000.0,0.4242835002641101
r_0300,-0.384,-0.4256955150554238,-0.42530110816040895
r_1022,0.128,-0.00040233886908147554,-0.0
r_1054,-11.776,-10.894643554217858,-10.893195134223099
r_0486,22.144,21.947038318499022,21.945589898502792
r_0450,22.144,10.898481611376269,-0.00040233888857210687
r_0892,-22.144,-21.947038318534656,-21.945589898552573
r_0889,1.024,0.7791077563840361,0.7747624964394639
r_1049,-0.384,-0.25386109223145564,-0.25241267216001084
r_1048,0.384,0.25386109223145564,-10.646068939227977
r_1050,-0.256,0.14350321625264775,0.14205479618120176
r_0466,1.024,0.779107756253012,0.7747624964463022
r_0467,-1.664,-1.9584686732950924,-1.9628139335615438
r_0886,11.776,10.898481611329574,0.0
r_2116,1.792,0.0006297478158254117,0.0
r_0112,0.512,0.10106242735105297,0.09996889087401965
r_0091,1.024,0.7791077567162574,0.7747624964471322
r_0958,0.896,0.9594296534889732,0.9529117638532949
r_2034,1.28,1.136003325416779,0.0
r_4041,0.32,0.4175477713916204,0.4175477713916204
