,mannose exp flux,Sim Flux
r_0723,12.8,12.46248323065523
r_0962,-22.144,-20.391998721334645
r_0961,0.384,0.7201484067228467
r_2131,0.384,0.31458383461340467
r_0713,0.128,0.42539767390860844
r_0300,-0.384,-0.42539767390860844
r_1022,0.128,-0.0
r_1054,-11.776,-10.893195110165946
r_0486,22.144,21.945589856305823
r_0450,22.144,10.643172068304185
r_0892,-22.144,-21.945589856305823
r_0889,1.024,0.7791077773410223
r_1049,-0.384,-0.2538610990646072
r_1048,0.384,0.0
r_1050,-0.256,0.14350322194049558
r_0466,1.024,0.7791077773410223
r_0467,-1.664,-1.9628139667437652
r_0886,11.776,10.643172068304185
r_2116,1.792,0.0
r_0112,0.512,0.10052597653251483
r_0091,1.024,0.7791077773410223
r_0958,0.896,0.9529117734163435
r_2034,1.28,1.1360033372927625
r_4041,0.32,0.417547775724979
