,pyruvate exp flux,Sim Flux
r_2131,0.425,0.06449900196349558
r_0713,0.325,1.3652099187903455
r_0300,-0.425,-1.3652099187903455
r_1022,0.325,-1.1776952439679047
r_1054,0.25,0.3377383683596062
r_0486,-0.525,-0.6960491977715576
r_0450,-0.525,0.0
r_0892,0.525,0.6960491977715576
r_0889,0.05,0.0
r_1049,-0.025,0.0011976791291147867
r_0466,0.05,0.0
r_0467,-0.25,-0.24269482228263084
r_0886,-0.25,0.0
r_2116,0.15,0.0
r_0112,0.15,0.02047631712603845
r_0091,0.05,0.0
r_1254,2.5,2.5
r_4041,0.1,0.08560965899419057
