,pyruvate exp flux,Sim Flux
r_2131,0.425,0.06449835697347539
r_0713,0.325,1.3647962660840398
r_0300,-0.425,-1.3647962660840398
r_1022,0.325,-1.1781334676716826
r_1054,0.25,0.3377349909749411
r_0486,-0.525,-0.6960422372792829
r_0450,-0.525,-0.3369144625482608
r_0892,0.525,0.6960422372792829
r_0889,0.05,0.0
r_1049,-0.025,0.0011976671525369582
r_0466,0.05,0.0
r_0467,-0.25,-0.242692395334408
r_0886,-0.25,0.0
r_2116,0.15,0.0
r_0112,0.15,0.02047611234103955
r_0091,0.05,0.0
r_1254,2.5,2.5
r_4041,0.1,0.08560880289760063
