,ethanol exp flux,Sim Flux
r_0962,-0.3079,-0.0
r_0961,0.03,0.0
r_2131,0.1089,0.0
r_0713,4.0837,2.7550013169060232
r_0300,-0.8712,-2.7550013169060232
r_1022,-0.2272,-0.0
r_0454,2.2813,-0.0
r_1054,-0.5576,0.6680348591415357
r_0486,1.104,-1.3768318970969204
r_0450,0.5576,-0.666478212655796
r_0452,-2.2813,-2.3560584563602363
r_0302,2.4765,2.7550013169060232
r_0892,-1.104,1.3768318970969204
r_0893,-1.2092,1.3768318970969204
r_0889,0.1934,0.0
r_1049,-0.0638,0.002369203913486214
r_1048,-0.0638,-0.002369203913486214
r_1050,-0.0526,-0.047128360048911966
r_0466,0.1934,0.0
r_0467,0.6327,-0.4800897908752153
r_0886,1.1059,0.0
r_0959,0.0225,0.0
r_0163,5.0,5.0
r_2116,0.9369,0.0
r_0112,4.9775,4.719689733240357
r_0958,0.2422,0.0
r_0716,2.056,2.0943853535277297
r_0714,2.668,1.6899241417870943
r_0662,2.056,2.292452359300443
r_0366,1.2092,-1.3768318970969204
r_0832,0.2272,0.29001536596436894
r_0884,1.6222,1.4663502093677725
r_0091,0.1934,0.0
r_0984,0.1033,-0.049497563962398176
r_0982,0.1164,0.049162251328466494
r_0718,0.3042,0.29553236236069635
r_2034,0.03,0.0
