,glucose exp flux,maximum,minimum
r_0534,1.5,1.5000781911470533,1.4999450564667958
r_0962,-1.7379,-0.9299458694790426,-0.9296820196187463
r_0961,0.2221,0.20488916819764758,0.20466761734223127
r_2131,0.1042,0.1089811153661093,0.08921851495631472
r_0713,0.299,1000.0,0.12079817322169598
r_0300,-0.3247,-0.12106823945611747,-0.12091604414889014
r_1022,-0.2632,-0.00010751281305002025,-0.0
r_0454,0.4494,-4.28699974620794,-0.0
r_1054,-0.61,-1.031749656174423,-1.0316452006542418
r_0486,1.7686,2.0348903540465226,2.0347417934519285
r_0450,1.1791,1.0329115332167582,-0.00011099999970336227
r_0452,-0.4494,-0.04471024506449339,-0.044411553934830816
r_0302,0.5605,1000.0,-999.7093891595912
r_0892,-1.7686,-2.034890354062747,-2.034741793451574
r_0893,-1.7071,-0.9926975016190678,-0.992433651704006
r_0889,0.1077,0.00018430776517792957,0.0
r_1049,-0.0359,0.001599357394146213,0.0016656501760492493
r_1048,-0.0359,-0.0015532804707276415,-1.0345747007512804
r_1050,-0.029,-0.03297517343714363,-0.03305176616923455
r_0466,0.1077,0.00018430777239156204,0.0
r_0467,1.1364,1.163460836547703,1.1632724587195606
r_0886,0.1487,1.0329115332508898,0.0
r_0959,1.2133,0.2849060686690559,0.2843604321699482
r_0163,-0.2478,1000.0,0.0
r_2116,0.5297,0.0004300512923640226,0.0
r_0112,0.8014,0.02872386172551389,0.02844895568170109
r_0958,0.2461,0.2526237084059022,0.2521570281927064
r_0716,0.1863,3.583757893798126e-05,0.0
r_0714,0.2375,-0.09538408069465776,-999.9749649500059
r_0662,0.1863,0.00012287174759717523,0.0
r_0366,1.7071,0.9926975015832618,0.9924323903802017
r_0832,0.2632,8.677004154211687e-05,0.0
r_0884,0.0923,0.0001075128528348207,0.0
r_0091,0.1077,0.00018430753594089744,0.0
r_0984,0.0581,-0.03457453085536827,-0.03470881946033238
r_0982,0.0666,0.03452378698979801,0.03446235110591717
r_0718,0.1265,0.019541876319884466,0.0
r_2034,0.2221,0.3419041887751414,0.0
