,glucose exp flux,Sim Flux
r_0534,1.5,1.5
r_0962,-1.7379,-0.9297917582937019
r_0961,0.2221,0.20474518468331965
r_2131,0.1042,0.10855106390378175
r_0713,0.299,0.12094468931011901
r_0300,-0.3247,-0.12094468931011901
r_1022,-0.2632,-0.0
r_0454,0.4494,-0.0
r_1054,-0.61,-1.0317128234644377
r_0486,1.7686,2.034851680518342
r_0450,1.1791,1.032804020394801
r_0452,-0.4494,-0.044587373241056605
r_0302,0.5605,0.12094468931011904
r_0892,-1.7686,-2.034851680518342
r_0893,-1.7071,-0.9925433903798119
r_0889,0.1077,0.0
r_1049,-0.0359,0.001660793289604258
r_1048,-0.0359,-0.001660793289604258
r_1050,-0.029,-0.033036609332659284
r_0466,0.1077,0.0
r_0467,1.1364,1.1634608365476478
r_0886,0.1487,1.032804020394801
r_0959,1.2133,0.2847998320452305
r_0163,-0.2478,0.0
r_2116,0.5297,0.000443999999640704
r_0112,0.8014,0.028580511236959757
r_0958,0.2461,0.2521936572147791
r_0716,0.1863,0.0
r_0714,0.2375,-0.0954700908815174
r_0662,0.1863,0.0
r_0366,1.7071,0.9925433903798119
r_0832,0.2632,0.0
r_0884,0.0923,0.0
r_0091,0.1077,0.0
r_0984,0.0581,-0.034697402622263306
r_0982,0.0666,0.03446235110593622
r_0718,0.1265,0.01911277481245499
r_2034,0.2221,0.3417042424543094
