,MAE1 Real Flux,fluxes
r_0534,1.5,1.5
r_0962,-1.8405,-0.7595107064567417
r_0718,0.0,0.0
r_2131,0.8835,0.12733441609919263
r_0713,0.399,0.141873711501735
r_0300,-0.8835,-0.141873711501735
r_1022,-0.7125,-0.0
r_0454,0.7125,-5.734062880303791
r_0366,1.9155,0.877958450314261
r_1054,-0.915,-0.9289419429569226
r_0486,1.9155,1.823686552106539
r_0450,0.915,0.9302766464316312
r_0452,-0.711,-0.0523026392636618
r_0302,0.8835,1000.0
r_0892,-1.9155,-1.823686552106539
r_0893,-1.9155,-0.877958450314261
r_0889,0.6315,0.0426366488170799
r_1049,-0.171,-0.019737003700531365
r_1048,0.171,0.019737003700531365
r_1050,-0.3795,-0.0394868682282283
r_0466,0.6315,0.0426366488170799
r_0467,0.5355,1.0625904550766194
r_0886,0.915,0.9302766464316312
r_0958,0.318,0.2734136168465484
r_0091,0.6315,0.0426366488170799
r_0832,0.7125,1.1140368862405658e-06
r_1239,0.5715,0.0
r_4041,0.1,0.13925461078214418
