,MAE1 Real Flux,maximum,minimum
r_0534,1.5,1.500255171497634,1.499985005951015
r_0962,-1.8405,-0.7602048358651885,-0.7592604115522588
r_0718,0.0,0.0,0.0
r_2131,0.8835,0.12734623507708526,0.12663142176608685
r_0713,0.399,1000.0,0.1417787702535227
r_0300,-0.8835,-0.14257401494303124,-0.14177877025352864
r_1022,-0.7125,-0.00070172137559954,-0.0
r_0454,0.7125,-5.734186605017483,-0.0
r_0366,1.9155,0.8786513956548907,0.8777069714055723
r_1054,-0.915,-0.929081234644579,-0.9286027881495725
r_0486,1.9155,1.8238318938620413,1.8233534474471003
r_0450,0.915,0.9306391997424193,-0.00035086074641887954
r_0452,-0.711,-0.052803345999222984,-0.05227212834679518
r_0302,0.8835,1000.0,-999.8581288206983
r_0892,-1.9155,-1.8238318938661238,-1.8233534474521045
r_0893,-1.9155,-0.8786513958973144,-0.8777069714091157
r_0889,0.6315,0.04367081184578936,0.04223547258699978
r_1049,-0.171,-0.02008166963189595,-0.019603223032018557
r_1048,0.171,0.020081667729647687,-0.91090839095738
r_1050,-0.3795,-0.0391416102930946,-0.03962005689302339
r_0466,0.6315,0.04367081191794586,0.04223547258297944
r_0467,0.5355,1.0629955774082611,1.0615602380566584
r_0886,0.915,0.9306391998313603,0.0
r_0958,0.318,0.27376174483544236,0.2732549456860488
r_0091,0.6315,0.043670811395031706,0.042235472583029954
r_0832,0.7125,0.0007028358192622264,0.0
r_1239,0.5715,1.1050738176032748e-05,0.0
r_4041,0.1,0.13925321878852134,0.13925321878852134
