,MAE1 Real Flux,Sim Flux
r_0534,1.5,1.5
r_0962,-1.8405,-0.7595237803957392
r_0718,0.0,0.0
r_2131,0.8835,0.127333171809985
r_0713,0.399,0.1418723010283673
r_0300,-0.8835,-0.1418723010283673
r_1022,-0.7125,-0.0
r_0454,0.7125,-0.0
r_0366,1.9155,0.877970338043397
r_1054,-0.915,-0.9288062775025092
r_0486,1.9155,1.8235569898985695
r_0450,0.915,0.9102626697004187
r_0452,-0.711,-0.05230212187769678
r_0302,0.8835,0.12733315101877762
r_0892,-1.9155,-1.8235569898985695
r_0893,-1.9155,-0.877970338043397
r_0889,0.6315,0.04306052390187917
r_1049,-0.171,-0.019878231673401043
r_1048,0.171,-6.742985610153074e-08
r_1050,-0.3795,-0.03934504715042786
r_0466,0.6315,0.04306052390187917
r_0467,0.5355,1.0621705254225318
r_0886,0.915,0.9102626697004187
r_0958,0.318,0.2734109459063194
r_0091,0.6315,0.04306052390187917
r_0832,0.7125,1.1140257387285492e-06
r_1239,0.5715,0.0
r_4041,0.1,0.13925321734106866
