,MAE1 Real Flux,fluxes
r_0534,1.5,1.5
r_0962,-1.8405,-0.759523670188442
r_0718,0.0,0.0
r_2131,0.8835,0.12733314275503166
r_0713,0.399,0.14187229276461988
r_0300,-0.8835,-0.14187229276461988
r_1022,-0.7125,-0.0
r_0454,0.7125,-0.0
r_0366,1.9155,0.8779702295685228
r_1054,-0.915,-0.9288062197188528
r_0486,1.9155,1.8235568814223702
r_0450,0.915,0.9102626696973983
r_0452,-0.711,-0.05230211623728359
r_0302,0.8835,0.12733314275503166
r_0892,-1.9155,-1.8235568814223702
r_0893,-1.9155,-0.8779702295685228
r_0889,0.6315,0.04306052390649984
r_1049,-0.171,-0.019878240149128007
r_1048,0.171,0.0
r_1050,-0.3795,-0.03934503954091237
r_0466,0.6315,0.04306052390649984
r_0467,0.5355,1.0621705277161606
r_0886,0.915,0.9102626696973983
r_0958,0.318,0.27341088271037983
r_0091,0.6315,0.04306052390649984
r_0832,0.7125,1.1140257458882908e-06
r_1239,0.5715,0.0
r_4041,0.1,0.13925321823603637
