,WT Real Flux,fluxes
r_0534,1.5,1.5
r_0962,-1.8315,-0.7978286273333539
r_0718,0.1005,0.0
r_2131,0.8985,0.10704879459853234
r_0713,0.2745,0.14475844207566363
r_0300,-0.8985,-0.14475844207566363
r_1022,-0.7365,-0.0
r_0454,0.7365,-0.0
r_0366,1.9065,0.8729353328963215
r_1054,-0.9045,-0.9325803851202934
r_0486,1.9065,1.8378930068267152
r_0450,0.9045,0.9339422272373892
r_0452,-0.7365,-0.053366113398404025
r_0302,0.8985,0.0
r_0892,-1.9065,-1.8378930068267152
r_0893,-1.9065,-0.8729353328963215
r_0889,0.663,0.020628860212603274
r_1049,-0.1815,-0.004888502381071774
r_1048,0.1815,0.004888502381071774
r_1050,-0.4005,-0.03266485040041198
r_0466,0.663,0.020628860212603274
r_0467,0.504,1.0765712918864196
r_0886,0.9045,0.9339422272373892
r_0958,0.4095,0.3018476831213927
r_0091,0.663,0.020628860212603274
r_0832,0.7365,1.1366886956181234e-06
r_1239,0.537,0.0
r_4041,0.1,0.14208608695226543
