,WT Real Flux,maximum,minimum
r_0534,1.5,1.5002552728092846,1.4999849939280019
r_0962,-1.8315,-0.7985226491906008,-0.7975777373739426
r_0718,0.1005,0.0017550006168758348,0.0
r_2131,0.8985,0.10880272387883339,0.10587725050355748
r_0713,0.2745,1000.0,0.144118451002965
r_0300,-0.8985,-0.1454589944791499,-0.14466327234949922
r_1022,-0.7365,-0.0007020002878473097,-0.0
r_0454,0.7365,-5.8050277229391405,-0.0
r_0366,1.9065,0.873628603695513,0.8726836918682696
r_1054,-0.9045,-0.9339960594726158,-0.932240917236167
r_0486,1.9065,1.83931462794218,1.8375594858119815
r_0450,0.9045,0.9353578875986412,-0.0003511420848140434
r_0452,-0.7365,-0.053867008244651515,-0.05272713958300668
r_0302,0.8985,1000.0,-999.8552441421862
r_0892,-1.9065,-1.8393146282175645,-1.8375594858326565
r_0893,-1.9065,-0.8736286032893883,-0.8726836918699105
r_0889,0.663,0.021663653904122768,0.0163969489501401
r_1049,-0.1815,-0.005233453518281512,-0.003478453505828809
r_1048,0.1815,0.005233453462403337,-0.9318794342995076
r_1050,-0.4005,-0.032319523729702454,-0.03407452374215525
r_0466,0.663,0.02166365377460977,0.016396948907630216
r_0467,0.504,1.0808055250935555,1.0755400999196496
r_0886,0.9045,0.9353578883971558,0.0
r_0958,0.4095,0.30886466345192115,0.3016886014812956
r_0091,0.663,0.02166365382981894,0.016398653921943493
r_0832,0.7365,0.00070313688874446,0.0
r_1239,0.537,0.0006381816069152835,0.0
r_4041,0.1,0.14208466609139586,0.14208466609139586
