,ADH3_real_flux,ADH3_sim_flux
r_0534,14.4,14.95760041266905
r_0962,-24.5210728,-23.148370843334714
r_0961,21.21583653,0.8204931718236541
r_0718,0.114431673,0.07861537336032959
r_2131,0.900127714,0.36773360719071607
r_0713,0.099106003,0.5112203992271152
r_0300,-0.900127714,-0.5112203992271152
r_1022,-0.520051086,-0.0
r_0454,0.213537676,-0.0
r_0366,24.60076628,23.37642093301505
r_1054,-12.94201788,-12.390207576964311
r_0486,24.60076628,24.975976529799105
r_0450,12.94201788,13.679532879594928
r_0452,-0.213537676,-0.2420770932345414
r_0302,0.900127714,0.36773360719071607
r_0892,-24.60076628,-24.975976529799105
r_0893,-24.60076628,-23.37642093301505
r_0889,1.808429119,0.9059332992545368
r_1049,-0.594636015,-0.29309107506229437
r_1048,0.594636015,1.5781734394356273
r_1050,0.485312899,0.17906603022212628
r_0466,1.808429119,0.9059332992545368
r_0467,11.86206897,12.271026217894944
r_0886,12.94201788,13.893046457966756
r_0959,21.21629539,20.527675038181755
r_2115,20.06195746,20.465682327296367
r_2116,1.154337929,0.0
r_0112,0.541307687,0.1301656000795307
r_2034,1.672635047,1.2011379906675943
r_1239,1.544426862,0.0
r_4041,0.3716,0.4314227954603411
