,ALD5_real_flux,ALD5_sim_flux
r_0534,16.2,16.316095568847793
r_0962,-27.82518835,-25.886206813606336
r_0961,23.65924159,0.9317594562852204
r_0718,0.830951783,0.0
r_2131,1.759542943,0.4063754455333628
r_0713,0.224773983,0.5501028205176645
r_0300,-1.759542943,-0.5501028205176645
r_1022,-1.340507283,-0.0
r_0454,1.055725766,-0.0
r_0366,28.06725264,26.153721596865637
r_1054,-14.83609995,-13.811441605105056
r_0486,28.06725264,27.837004842765957
r_0450,14.83609995,13.642471904654201
r_0452,-0.212569061,-0.21577378110339251
r_0302,1.759542943,0.4066160284812653
r_0892,-28.06725264,-27.837004842765957
r_0893,-28.06725264,-26.153721596865637
r_0889,1.262192366,1.026356184684755
r_1049,-0.411916123,-0.3358082697568827
r_1048,0.411916123,0.16194536358303047
r_1050,0.290883978,0.1938736878285317
r_0466,1.262192366,1.026356184684755
r_0467,14.13329985,13.705293250102605
r_0886,14.83609995,13.893046457966756
r_0959,23.65971029,22.96719642049964
r_2115,22.24897024,22.872353986061462
r_2116,1.410740047,0.0
r_0112,0.597067646,0.1301656000795307
r_2034,1.908203282,1.4685441124663088
r_1239,1.645496626,0.0
r_4041,0.4126,0.5179549773228822
