,ALD5_real_flux,ALD5_sim_flux
r_0534,16.2,16.2
r_0962,-27.82518835,-25.355391696308594
r_0961,23.65924159,0.9484706829516192
r_0718,0.830951783,0.0
r_2131,1.759542943,0.41432230034238365
r_0713,0.224773983,0.5602695479591672
r_0300,-1.759542943,-0.5602695479591672
r_1022,-1.340507283,-0.0
r_0454,1.055725766,-0.0
r_0366,28.06725264,25.646085142570097
r_1054,-14.83609995,-13.725727841341717
r_0486,28.06725264,27.624046225185012
r_0450,14.83609995,13.433518429998326
r_0452,-0.212569061,-0.2065485272065209
r_0302,1.759542943,0.41432230034238365
r_0892,-28.06725264,-27.624046225185012
r_0893,-28.06725264,-25.646085142570097
r_0889,1.262192366,0.9148735590293389
r_1049,-0.411916123,-0.29726432044602585
r_1048,0.411916123,0.0
r_1050,0.290883978,0.15191759731527593
r_0466,1.262192366,0.9148735590293389
r_0467,14.13329985,13.726127479928804
r_0886,14.83609995,13.433518429998326
r_0959,23.65971029,22.367498064041158
r_2115,22.24897024,22.266611472579818
r_2116,1.410740047,0.0
r_0112,0.597067646,0.1323976290526825
r_2034,1.908203282,1.4961719710836052
r_1239,1.645496626,0.0
r_4041,0.4126,0.5499308480164579
