,ALD6_real_flux,ALD6_sim_flux
r_0534,4.7,4.7
r_0962,-7.92152646,-7.545811468732367
r_0961,6.899873498,0.2597201093222156
r_0718,0.013873076,0.0
r_2131,0.267552182,0.11345404246410941
r_0713,0.03963736,0.35222332492237657
r_0300,-0.267552182,-0.15341883609204413
r_1022,-0.131794223,-0.0
r_0454,0.052519502,-0.0
r_0366,8.000801181,7.625412172264223
r_1054,-4.359118701,-4.002184962592671
r_0486,8.000801181,8.07191455812131
r_0450,4.359118701,3.9018850465983874
r_0452,-0.207105208,-0.05655926643874948
r_0302,0.267552182,0.0
r_0892,-8.000801181,-8.07191455812131
r_0893,-8.000801181,-7.625412172264223
r_0889,0.110984609,0.31137248073925805
r_1049,-0.03468269,-0.10168410379085835
r_1048,0.03468269,0.0
r_1050,-0.00495467,0.061883752024930565
r_0466,0.110984609,0.31137248073925805
r_0467,4.330381615,3.9617262055217
r_0886,4.359118701,3.9018850465983874
r_0959,6.899173337,6.727635351363396
r_2115,6.674968524,6.700009535368806
r_2116,0.224204813,0.027625815994590318
r_0112,0.194478046,0.03625449611637487
r_2034,0.57206456,0.0
r_1239,0.365297488,0.0
r_4041,0.1387,0.15058778572049863
