,COX5A_real_flux,COX5A_sim_flux
r_0534,13.3,13.3
r_0962,-21.35787365,-21.054190341660245
r_0961,19.13027735,0.7592355846656224
r_0718,0.229522342,0.0
r_2131,0.716232666,0.3316583628726684
r_0713,0.038936826,0.4484867961246426
r_0300,-0.716232666,-0.4484867961246426
r_1022,-0.452896764,-0.0
r_0454,0.268459168,-0.0
r_0366,21.50952234,21.28688578770607
r_1054,-12.3255547,-11.301338312493465
r_0486,21.50952234,22.758879057855694
r_0450,12.3255547,0.0
r_0452,-0.214152542,-0.16533878656889522
r_0302,0.716232666,0.4484867961246426
r_0892,-21.50952234,-22.758879057855694
r_0893,-21.50952234,-21.28688578770607
r_0889,1.145562404,0.786481032156658
r_1049,-0.376047766,-0.25600179450591654
r_1048,0.376047766,-11.049382891731044
r_1050,0.300223421,0.13965407148300457
r_0466,1.145562404,0.786481032156658
r_0467,11.64825886,11.265565278862434
r_0886,12.3255547,0.0
r_0959,19.13147849,18.662429363077656
r_2115,18.55199942,16.04706063281414
r_2116,0.57947907,0.0
r_0112,0.374540887,0.10598218069254052
r_2034,1.101410254,0.0
r_1239,0.786992284,0.0
r_4041,0.256,0.44021083247412884
