,COX5A_maximum,COX5A_minimum,COX5A_real_flux
r_0534,13.300308488835341,13.299787913913722,13.3
r_0962,-21.05484370115124,-21.053799349814092,-21.35787365
r_0961,0.7596025835041189,0.7587917009383232,19.13027735
r_0718,0.001090728443455924,0.0,0.229522342
r_2131,0.33274577474164435,0.3278374970023724,0.716232666
r_0713,1000.0,0.44730768060083415,0.038936826
r_0300,-0.4487963196856174,-0.4483805099394965,-0.716232666
r_1022,-0.00042417212023693196,-0.0,-0.452896764
r_0454,-7.897795579622471,-0.0,0.268459168
r_0366,21.287536820274507,21.286492468906594,21.50952234
r_1054,-11.302211098979363,-11.30068407921423,-12.3255547
r_0486,22.759770268816446,22.758243249108876,21.50952234
r_0450,11.306257432285836,-0.00042417214697143546,12.3255547
r_0452,-0.16564876990050337,-0.16416250267479882,-0.214152542
r_0302,1000.0,-999.5515176887426,0.716232666
r_0892,-22.759770269037613,-22.758243249130064,-21.50952234
r_0893,-21.28753682026614,-21.28649246890186,-21.50952234
r_0889,0.7884958271636207,0.7839147676622461,1.145562404
r_1049,-0.25667345447111606,-0.25514643457600705,-0.376047766
r_1048,0.25667345447111606,-11.051110997724885,0.376047766
r_1050,0.14032689492522502,0.13879987503011648,0.300223421
r_0466,0.7884958269272602,0.7839147680332552,1.145562404
r_0467,11.26814402300049,11.263562963617256,11.64825886
r_0886,11.306257432161312,0.0,12.3255547
r_0959,18.66310343888449,18.661355335094083,19.13147849
r_2115,1000.0,0.0,18.55199942
r_2116,0.0006639216704656174,0.0,0.57947907
r_0112,0.10654668373615728,0.10539380555971596,0.374540887
r_2034,1.1976497136792923,0.0,1.101410254
r_1239,0.0011746306267360895,0.0,0.786992284
r_4041,0.4402064303662938,0.4402064303662938,0.256
