,COX5A_real_flux,COX5A_sim_flux
r_0534,13.3,14.182179187922547
r_0962,-21.35787365,-21.607521757988525
r_0961,19.13027735,0.7553042995052502
r_0718,0.229522342,0.12437778314236593
r_2131,0.716232666,0.34467978732230364
r_0713,0.038936826,0.4881665793587027
r_0300,-0.716232666,-0.4881665793587027
r_1022,-0.452896764,-1.3825905580135923e-06
r_0454,0.268459168,-0.0
r_0366,21.50952234,21.80195986988475
r_1054,-12.3255547,-11.607856730089779
r_0486,21.50952234,23.35277835722449
r_0450,12.3255547,13.893046457966756
r_0452,-0.214152542,-0.2647851744538363
r_0302,0.716232666,0.34467978732230364
r_0892,-21.50952234,-23.35277835722449
r_0893,-21.50952234,-21.80195986988475
r_0889,1.145562404,0.6910274814077841
r_1049,-0.376047766,-0.22001751430328564
r_1048,0.376047766,2.5013873460138707
r_1050,0.300223421,0.1227984583551735
r_0466,1.145562404,0.6910274814077841
r_0467,11.64825886,11.566194229877484
r_0886,12.3255547,13.893046457966756
r_0959,19.13147849,19.171252629569317
r_2115,18.55199942,19.13090998294741
r_2116,0.57947907,0.0
r_0112,0.374540887,0.1301656000795307
r_2034,1.101410254,1.0440790688303299
r_1239,0.786992284,0.0
r_4041,0.256,0.36783600434397357
