,CTP1_real_flux,CTP1_sim_flux
r_0534,13.9,13.9
r_0962,-23.33285509,-21.3892177368814
r_0961,20.04127464,0.8420108663576666
r_0718,0.003148833,0.0
r_2131,0.901615948,0.2387847751838308
r_0713,0.073472778,25.638932016139293
r_0300,-0.901615948,-0.49738284582801506
r_1022,-0.516408669,-0.0
r_0454,0.076621611,-0.0
r_0366,23.55852148,21.64728268810312
r_1054,-12.48092577,-11.761310405478007
r_0486,23.55852148,23.617977947727695
r_0450,12.48092577,11.559760858970703
r_0452,-0.219368723,-0.18336476547369784
r_0302,0.901615948,0.2387847751838308
r_0892,-23.55852148,-23.6179779477277
r_0893,-23.55852148,-21.64728268810312
r_0889,1.621649173,0.6386011694372042
r_1049,-0.532152835,-0.20603707413401215
r_1048,0.532152835,0.0
r_1050,0.419844446,0.07700459852315161
r_0466,1.621649173,0.6386011694372042
r_0467,11.52787888,11.877387611836998
r_0886,12.48092577,11.559760858970703
r_0959,20.04055593,18.736696208160197
r_2115,18.62795431,0.0
r_2116,1.412601624,0.0
r_0112,0.572932803,0.11753683518759549
r_2034,1.775811608,0.0
r_1239,1.162698387,0.0
r_4041,0.37,0.48820459936004745
