,CTP1_real_flux,CTP1_sim_flux
r_0534,13.9,13.9
r_0962,-23.33285509,-21.38963138470444
r_0961,20.04127464,0.8420024462490138
r_0718,0.003148833,0.0
r_2131,0.901615948,0.23878238733604518
r_0713,0.073472778,0.4973778719995644
r_0300,-0.901615948,-0.4973778719995644
r_1022,-0.516408669,-0.0
r_0454,0.076621611,-0.0
r_0366,23.55852148,21.647693755276652
r_1054,-12.48092577,-11.760583812373302
r_0486,23.55852148,23.617271787947608
r_0450,12.48092577,11.55828830136078
r_0452,-0.219368723,-0.1833629318259229
r_0302,0.901615948,0.23878238733604518
r_0892,-23.55852148,-23.617271787947608
r_0893,-23.55852148,-21.647693755276652
r_0889,1.621649173,0.6408387234275057
r_1049,-0.532152835,-0.2067829937639558
r_1048,0.532152835,0.0
r_1050,0.419844446,0.0777518084778499
r_0466,1.621649173,0.6408387234275057
r_0467,11.52787888,11.875163897958867
r_0886,12.48092577,11.55828830136078
r_0959,20.04055593,18.737136381198496
r_2115,18.62795431,18.647574565181348
r_2116,1.412601624,0.0
r_0112,0.572932803,0.11753565981924495
r_2034,1.775811608,1.199195046987368
r_1239,1.162698387,0.0
r_4041,0.37,0.48819971731405964
