,DAL7_real_flux,DAL7_sim_flux
r_0534,14.3,15.13939432333316
r_0962,-24.67282388,-23.436944996877212
r_0961,21.66345522,0.779442392035994
r_0718,0.045990352,0.10743286473629092
r_2131,0.726847515,0.35321610892478744
r_0713,0.055988254,0.4967029009611865
r_0300,-0.726847515,-0.4967029009611865
r_1022,-0.381919877,-1.1942298749182456e-06
r_0454,0.101978606,-0.0
r_0366,24.62683353,23.64382904090896
r_1054,-13.11124939,-12.564201510782775
r_0486,24.62683353,25.21269419597975
r_0450,13.11124939,13.893046457966756
r_0452,-0.208956163,-0.2563767660109283
r_0302,0.726847515,0.35321610892478744
r_0892,-24.62683353,-25.21269419597975
r_0893,-24.62683353,-23.64382904090896
r_0889,1.244738866,0.5477707190643974
r_1049,-0.407914424,-0.17264143216969186
r_1048,0.407914424,1.4975098380416856
r_1050,0.306935608,0.06919941015381706
r_0466,1.244738866,0.5477707190643974
r_0467,12.39639936,12.642703029657495
r_0886,13.11124939,13.893046457966756
r_0959,21.66403257,20.93238640956569
r_2115,20.36898686,20.884027119820782
r_2116,1.295045706,0.0
r_0112,0.495206652,0.1301656000795307
r_2034,1.489686519,1.1022347229721134
r_1239,0.74261697,0.0
r_4041,0.35,0.3913810897308919
