,DAL7_real_flux,DAL7_sim_flux
r_0534,14.3,14.3
r_0962,-24.67282388,-22.975899291455743
r_0961,21.66345522,0.78867193816714
r_0718,0.045990352,0.0
r_2131,0.726847515,0.34451710264782787
r_0713,0.055988254,0.4658750958014882
r_0300,-0.726847515,-0.4658750958014882
r_1022,-0.381919877,-0.0
r_0454,0.101978606,-0.0
r_0366,24.62683353,23.217616582033546
r_1054,-13.11124939,-12.195868471540603
r_0486,24.62683353,24.581975154765733
r_0450,13.11124939,11.906164829003481
r_0452,-0.208956163,-0.17174914333735386
r_0302,0.726847515,0.34451710264782787
r_0892,-24.62683353,-24.581975154765733
r_0893,-24.62683353,-23.217616582033546
r_0889,1.244738866,0.9009126639592449
r_1049,-0.407914424,-0.2939068984003672
r_1048,0.407914424,0.0
r_1050,0.306935608,0.17304825311146566
r_0466,1.244738866,0.9009126639592449
r_0467,12.39639936,12.102749184207582
r_0886,13.11124939,11.906164829003481
r_0959,21.66403257,20.49140725142309
r_2115,20.36898686,20.407518075876535
r_2116,1.295045706,0.0
r_0112,0.495206652,0.11009122009840815
r_2034,1.489686519,1.2440962799125836
r_1239,0.74261697,0.0
r_4041,0.35,0.45727826443020025
