,ADH3_real_flux,ADH3_sim_flux,ALD5_real_flux,ALD5_sim_flux,ALD6_real_flux,ALD6_sim_flux,COX5A_real_flux,COX5A_sim_flux,CTP1_real_flux,CTP1_sim_flux,DAL7_real_flux,DAL7_sim_flux,FUM1_real_flux,FUM1_sim_flux,GND2_real_flux,GCV2_sim_flux,GCV2_real_flux,GLY1_sim_flux,GLY1_real_flux,GND2_sim_flux,GPD1_real_flux,GPD1_sim_flux,ICL1_real_flux,ICL1_sim_flux,IDP1_real_flux,IDP1_sim_flux,IDP2_real_flux,IDP2_sim_flux,LSC1_real_flux,LSC1_sim_flux,MAE1_real_flux,MAE1_sim_flux,MDH1_real_flux,MDH1_sim_flux,MDH3_real_flux,MDH3_sim_flux,OAC1_real_flux,OAC1_sim_flux,PCK1_real_flux,PCK1_sim_flux,PDA1_real_flux,PDA1_sim_flux,PGM1_real_flux,PGM1_sim_flux,PGM2_real_flux,PGM2_sim_flux,RPE1_real_flux,RPE1_sim_flux,SDH1_real_flux,SDH1_sim_flux,SER33_real_flux,SER33_sim_flux,SFC1_real_flux,SFC1_sim_flux,SOL3_real_flux,SOL3_sim_flux,SOL4_real_flux,SOL4_sim_flux,TAL1_real_flux,TAL1_sim_flux,ZWF1_real_flux,ZWF1_sim_flux
r_0534,14.4,14.4,16.2,16.2,4.7,4.7,13.3,13.3,13.9,13.9,14.3,14.3,9.1,9.1,15.5,16.0,16.0,13.1,13.1,15.5,16.4,16.4,15.7,15.7,15.0,15.0,13.4,13.4,17.8,17.8,12.5,12.5,10.0,10.0,14.4,14.4,11.7,11.7,13.4,13.4,8.0,8.0,14.7,14.7,16.1,16.1,4.6,4.6,13.4,13.4,14.5,14.5,12.9,12.9,12.2,12.2,15.9,15.9,12.2,12.2,6.5,6.5
r_0962,-24.5210728,-22.771020563481386,-27.82518835,-25.35492632556822,-7.92152646,-7.545811468732367,-21.35787365,-21.054190341660245,-23.33285509,-21.3892177368814,-24.67282388,-22.975512362349626,-14.93827133,-13.722519985728782,-27.55341866,-26.97759418556275,-27.51864533,-21.134814167614643,-22.86753505,-25.40380160022186,-28.26898784,-26.82104970338932,-27.14446029,-25.625614342976053,-26.09305813,-23.5444881218041,-22.66328224,-21.27239202465371,-31.06065037,-28.52927768786355,-20.82975148,-18.359204246153688,-16.87885419,-15.33417877690441,-24.35051771,-22.200711542525646,-20.06035069,-18.42422483058623,-23.16295957,-21.739726224573452,-13.40648379,-10.144652575933456,-24.43659766,-22.339007128089335,-28.16198383,-25.049596466907378,-7.703642894,-5.306796922888679,-23.16295957,-21.739726257313443,-24.28635968,-23.44791539764623,-22.16605619,-20.39926057735102,-21.93422092,-18.464614496861753,-27.46907074,-25.717811437805782,-21.80317018,-18.732486882057746,-11.19372211,-7.52574789885265
r_0961,21.21583653,0.8240307945474181,23.65924159,0.9484801677498294,6.899873498,0.2597201093222156,19.13027735,0.7592355846656224,20.04127464,0.8420108663576666,21.66345522,0.7886798167803705,12.84216975,0.571698672225357,24.21818063,1.551583367970205,24.2146548,0.7153625923957828,19.91448931,0.8139873465829831,24.88500397,0.8659746550877351,24.46044733,0.8331494660946508,22.13040994,0.8687599698351116,19.89211215,0.7605887180670816,27.13509385,0.9874010477555332,16.87636761,0.8068579633915918,14.44997016,0.6070674824798693,20.60043597,0.8706284546924963,17.54642764,0.6758351273929857,20.49176794,0.7218659790915981,11.08181926,0.0,20.59641787,0.9152571996202592,23.43611318,0.9547846642120147,4.526834274,0.42516313446384935,20.49176794,0.7218659715999737,21.69322669,0.7873672148023034,19.0396632,0.7375502422321254,17.1263185,0.7657489153090661,24.31577166,0.8629019540666676,17.58916565,0.7438621432637782,6.330973996,0.5974098106430787
r_0718,0.114431673,0.0,0.830951783,0.0,0.013873076,0.0,0.229522342,0.0,0.003148833,0.0,0.045990352,0.0,0.0,0.0,0.039476262,0.0,0.802838822,0.0,0.084315378,0.0,0.0,0.0,0.06208752,0.0,0.0,0.0,0.0,0.11703664853912121,0.0,0.0,0.0,0.0,0.0,0.09341335454867905,0.150081744,0.0,0.0,0.0,0.0,0.0,0.021850137,0.0,0.319347589,0.0,0.472587065,0.0,0.330425859,0.03968661573842558,0.0,0.0,0.0,0.0,0.108117337,0.0,0.599415908,0.0,0.0,0.0,0.126441387,0.0,1.060163102,0.0
r_2131,0.900127714,0.3599629809193209,1.759542943,0.4143264436052938,0.267552182,0.11345404246410941,0.716232666,0.3316583628726684,0.901615948,0.2387847751838308,0.726847515,0.34452054427782614,0.609166852,0.24973359543817758,0.711584928,0.3739555048441606,1.484156135,0.3124932379969032,0.797984829,0.3555756819349769,0.809431311,0.37828539941540285,0.517056726,0.3639463080156934,0.854877875,0.0,0.615147664,0.44928610331757013,0.780838062,0.4313283276120252,1.239645202,0.4277770462873893,0.615675353,0.0,1.228119891,0.3803183277833909,0.650170113,0.29522637828113574,0.709791332,0.3153341251048395,2.122313264,0.28455076742919355,1.460589758,0.399813589568733,1.646044776,0.4170804491045419,1.607285788,0.22541145790608433,0.709791332,0.3153341218322585,0.57937889,0.343947157792865,0.971053857,0.27488880507305735,1.687167153,0.33450359381505734,0.76715333,0.3769431454288577,0.933966208,0.3249427524481383,3.730573934,0.26096769403822934
r_0713,0.099106003,0.48676186735554217,0.224773983,19.519690635587,0.03963736,0.35222332492237657,0.038936826,0.4484867961246426,0.073472778,25.638932016139293,0.055988254,26.120177947902324,0.0,0.33770717684153895,0.066805982,21.105068860146506,0.30978024,0.4225706534448249,0.054202743,0.4808291188245338,0.009015943,29.80166805266632,0.063105348,0.49214834273911157,0.047136123,0.5131837644889727,0.033061682,0.44928610331757013,0.002913575,22.77072824380548,0.469873398,0.47661773267452623,0.0,0.0,0.19226158,1.1807158478568978,0.058178487,14.319345939032932,0.0,0.9789693834933562,0.462652892,0.38478529808133466,0.341371561,0.5406500661694931,0.44755597,29.675769188089937,0.598306824,0.25114741176150235,0.0,24.407437434084027,0.0,18.959416918566507,0.113122769,0.4356770833723773,0.512437725,13.456464555969836,0.046826242,0.5097233856860033,0.103065668,0.43940557598826074,2.351361748,0.35289496087929545
r_0300,-0.900127714,-0.48676186735554217,-1.759542943,-0.5602751507086374,-0.267552182,-0.15341883609204413,-0.716232666,-0.4484867961246426,-0.901615948,-0.49738284582801506,-0.726847515,-0.46587974976407054,-0.609166852,-0.33770717684153895,-0.711584928,-1.2012040828165622,-1.484156135,-0.4225706534448249,-0.797984829,-0.4808291188245338,-0.809431311,-0.5115384558226239,-0.517056726,-0.49214834273911157,-0.854877875,-0.5131837644889727,-0.615147664,-0.44928610331757013,-0.780838062,-0.5832660393453786,-1.239645202,-0.47661773267452623,-0.615675353,-0.3585998282321777,-1.228119891,-0.5142874940878234,-0.701203873,-0.3992214499883673,-0.709791332,-0.4264122582409674,-2.122313264,-0.38478529808133466,-1.460589758,-0.5406500661694931,-1.646044776,-0.5639992693835296,-1.607285788,-0.25114741176150235,-0.709791332,-0.4264122538156023,-0.57937889,-0.4651043848211991,-0.971053857,-0.4356770833723773,-1.687167153,-0.45233427489325884,-0.76715333,-0.5097233856860033,-0.933966208,-0.43940557598826074,-3.800584705,-0.35289496087929545
r_1022,-0.520051086,-0.0,-1.340507283,-0.0,-0.131794223,-0.0,-0.452896764,-0.0,-0.516408669,-0.0,-0.381919877,-0.0,-0.39631321,-0.0,-0.370469536,-0.6955167792847881,-1.112619062,-0.0,-0.479794652,-0.0,-0.439777656,-0.0,-0.125192869,-0.0,-0.454220826,-0.0,-0.233435514,-0.0,-0.37196639,-0.0,-0.841083151,-0.0,-0.328227571,-0.0,-0.833787466,-0.0,-0.3541743,-0.0,-0.409691967,-0.0,-1.963662273,-0.0,-1.071165895,-0.0,-1.210503731,-0.0,-1.413750641,-0.0,-0.409691967,-0.0,-0.262030654,-0.0,-0.632686637,-0.0,-1.310960316,-0.0,-0.385569271,-0.0,-0.548266852,-0.0,-3.571549469,-0.0
r_0454,0.213537676,-0.0,1.055725766,-0.0,0.052519502,-0.0,0.268459168,-0.0,0.076621611,-0.0,0.101978606,-0.0,0.101358877,-0.0,0.107294456,-0.0,1.112619062,-0.0,0.138518121,-0.0,0.009015943,-0.0,0.125192869,-0.0,0.047136123,-0.0,0.033061682,-0.0,0.002913575,-0.0,0.469873398,-0.0,0.0,-0.0,0.343324251,-0.0,0.058178487,-0.0,0.0,-0.0,0.769504809,-0.0,0.680740943,-0.0,0.920143035,-0.0,0.941713699,-0.0,0.0,-0.0,0.0,-0.0,0.222241192,-2.483740939808107,1.111853633,-0.0,0.046826242,-0.0,0.229507055,-0.0,3.521541776,-0.0
r_0366,24.60076628,23.023574865684115,28.06725264,25.64562267879218,8.000801181,7.625412172264223,21.50952234,21.28688578770607,23.55852148,21.64728268810312,24.62683353,23.217232067615907,15.06091557,13.897737902570594,27.11310651,27.239965808721283,27.73379817,21.35406313444957,22.84545246,25.6532777213552,28.18684259,27.086459231999292,27.12512156,25.880963394774145,25.6656192,23.810751311742134,22.80454579,21.505502187800218,30.42160629,28.831902764814842,20.73011097,18.757126721152936,17.04495723,15.520236756099077,24.5800545,22.46754739782092,19.9695106,18.631359163589607,23.33605442,21.960968391540643,13.49958437,10.34429677358343,24.62280033,22.61952109057186,27.77750622,25.34222506309518,7.625756798,5.437103677754335,23.33605442,21.960968421984553,24.32420855,23.689232808145334,22.36226913,20.625309759006534,21.10426044,18.699306190725686,27.57966038,25.982279225078674,21.05727225,18.960470576077565,11.26373288,7.7088459321475025
r_1054,-12.94201788,-12.232742229196718,-14.83609995,-13.726545146791267,-4.359118701,-4.002184962592671,-12.3255547,-11.301338312493465,-12.48092577,-11.761310405478007,-13.11124939,-12.196548103371041,-8.323591,-7.655328774382538,-14.31166329,-13.62306407858355,-14.90132603,-11.184801443828126,-12.04304651,-13.28729745739232,-14.97848635,-14.051045132918887,-14.40735818,-13.444497479386724,-13.55913441,-12.810856579539307,-12.22781308,-11.36875178574638,-16.34127019,-15.172357749846087,-11.15387621,-10.404547983170245,-9.12174259,-8.501256551806732,-13.00021798,-12.156063093787097,-10.61604292,-9.928719405721584,-12.4105939,-11.457198337643474,-7.543047144,-6.510145242104297,-13.55575456,-12.365722513394845,-14.76734453,-13.621804552820103,-4.019394561,-3.591553953501942,-12.4105939,-11.457198361761286,-13.32377351,-12.38744044707416,-11.92293962,-10.970549492884402,-11.14159079,-10.252592082511988,-14.67952879,-13.584270453627765,-11.1491552,-10.288608015200095,-6.11494076,-5.133621816828646
r_0486,24.60076628,24.633042538897143,28.06725264,27.624840513586605,8.000801181,8.07191455812131,21.50952234,22.758879057855694,23.55852148,23.617977947727695,24.62683353,24.582635667334415,15.06091557,15.367970843879714,27.11310651,27.54563182343068,27.73379817,22.54881006591711,22.84545246,26.81197049674878,28.18684259,28.349559046421906,27.12512156,27.12266924147724,25.6656192,25.702611288077485,22.80454579,22.92300884260843,30.42160629,30.576202675947115,20.73011097,20.871206399023787,17.04495723,17.028068092420583,24.5800545,24.44328349533646,19.9695106,19.988650486102642,23.33605442,23.105425000555694,13.49958437,12.929382464639048,24.62280033,24.844641031081437,27.77750622,27.404800613208305,7.625756798,7.159798109011604,23.33605442,23.1054250428536,24.32420855,24.97671334073084,22.36226913,22.08071469455956,21.10426044,20.594326737426336,27.57966038,27.39024098079248,21.05727225,20.683455941572458,11.26373288,10.183869912858768
r_0450,12.94201788,12.237133931374846,14.83609995,13.435174861745402,4.359118701,3.9018850465983874,12.3255547,0.0,12.48092577,11.559760858970703,13.11124939,12.200751401223645,8.323591,7.658375663310304,14.31166329,0.0,14.90132603,10.915374435210497,12.04304651,13.291635632648163,14.97848635,14.055660376431772,14.40735818,13.105748365692625,13.55913441,12.620392507433657,12.22781308,11.087322872767682,16.34127019,14.816341899644089,11.15387621,0.0,9.12174259,8.504491940098916,13.00021798,11.915104194047576,10.61604292,9.712273010669449,12.4105939,11.175129990340933,7.543047144,6.513616883054473,13.55575456,12.37060041002652,14.76734453,13.626893112516184,4.019394561,3.5612431872195436,12.4105939,11.461045572788798,13.32377351,12.086307118249946,11.92293962,10.737915700060455,11.14159079,0.0,14.67952879,0.0,11.1491552,10.088553978034435,6.11494076,5.136805734206488
