,FUM1_maximum,FUM1_minimum,FUM1_real_flux
r_0534,9.100232767694077,9.099839972231418,9.1
r_0962,-13.723012203526967,-13.722225286784228,-14.93827133
r_0961,0.5719752025759578,0.5713637493529973,12.84216975
r_0718,0.0008229998900071145,0.0,0.0
r_2131,0.25055409541698004,0.24685059575460155,0.609166852
r_0713,999.8943439300899,0.3368174885404166,0.0
r_0300,-0.3378750312867702,-0.33762698294105675,-0.609166852
r_1022,-0.00032005561374689437,-0.0,-0.39631321
r_0454,-6.944187553252282,-0.0,0.101358877
r_0366,13.898228366391692,13.897441449617302,15.06091557
r_1054,-7.65598724005452,-7.654835040104237,-8.323591
r_0486,15.368643197562527,15.36749099748315,15.06091557
r_0450,7.659034098535004,-0.00032005552919134317,8.323591
r_0452,-0.0,-0.0,-0.211840053
r_0302,1000.0,-999.6622962037277,0.609166852
r_0892,-15.368643197590984,-15.3674909975775,-15.06091557
r_0893,-13.898228366341552,-13.89744144962106,-15.06091557
r_0889,0.4128168812771151,0.4093602814471875,0.889930942
r_1049,-0.13296833213810355,-0.13181613220307575,-0.291913566
r_1048,0.13296833213810355,-7.52721796624272,0.291913566
r_1050,0.045360250714064715,0.044208050779051086,0.23109824
r_0466,0.41281688078896095,0.4093602816555286,0.889930942
r_0467,7.7509494048056204,7.747492804721353,7.800579194
r_0886,7.659034098378754,0.0,8.323591
r_0959,11.797555956044903,11.796236939355708,12.84134784
r_2115,1000.0,0.0,11.72674227
r_2116,0.0005009564648812137,0.0,1.114605566
r_0112,0.08022972503806969,0.07935983094970966,0.303758115
r_2034,0.9018232762336627,0.0,1.106345819
r_1239,0.0008863076674270332,0.0,0.751850311
r_4041,0.3314721204087137,0.3314721204087137,0.2097
