,GCV2_sim_flux,GCV2_real_flux
r_0534,16.0,16.0
r_0962,-26.97759418556275,-27.51864533
r_0961,1.551583367970205,24.2146548
r_0718,0.0,0.802838822
r_2131,0.3739555048441606,1.484156135
r_0713,21.105068860146506,0.30978024
r_0300,-1.2012040828165622,-1.484156135
r_1022,-0.6955167792847881,-1.112619062
r_0454,-0.0,1.112619062
r_0366,27.239965808721283,27.73379817
r_1054,-13.62306407858355,-14.90132603
r_0486,27.54563182343068,27.73379817
r_0450,0.0,14.90132603
r_0452,-0.18642481638692843,-0.20818029
r_0302,1.2012040828165635,1.484156135
r_0892,-27.54563182343068,-27.73379817
r_0893,-27.239965808721283,-27.73379817
r_0889,1.2569238893234456,0.788893731
r_1049,-0.412030666460085,-0.254995953
r_1048,-13.215595829072432,0.254995953
r_1050,0.2808448548808182,0.147419536
r_0466,1.2569238893234456,0.788893731
r_0467,13.33596806207247,14.49891054
r_0886,0.0,14.90132603
r_0959,23.58528576375903,24.21440456
r_2115,0.0,23.48449997
r_2116,0.0,0.729904584
r_0112,0.11949832816541936,0.530689349
r_2034,0.0,1.550506711
r_1239,0.0,1.47913082
r_4041,0.4963519166828054,0.3745
