,GLY1_sim_flux,GLY1_real_flux
r_0534,13.1,13.1
r_0962,-21.13516519191638,-22.86753505
r_0961,0.7153554313469752,19.91448931
r_0718,0.0,0.084315378
r_2131,0.31249010982157766,0.797984829
r_0713,0.42256642335391126,0.054202743
r_0300,-0.42256642335391126,-0.797984829
r_1022,-0.0,-0.479794652
r_0454,-0.0,0.138518121
r_0366,21.354411963986337,22.84545246
r_1054,-11.184185039713771,-12.04304651
r_0486,22.548211039731772,22.84545246
r_0450,10.91412515218737,12.04304651
r_0452,-0.15578300250047528,-0.209784691
r_0302,0.31249010982157766,0.797984829
r_0892,-22.548211039731772,-22.84545246
r_0893,-21.354411963986337,-22.84545246
r_0889,0.8390250464730181,1.021822083
r_1049,-0.2738724003921452,-0.334250249
r_1048,0.0,0.334250249
r_1050,0.16424901435716432,0.241904835
r_0466,0.8390250464730181,1.021822083
r_0467,11.085146966124151,11.46789518
r_0886,10.91412515218737,12.04304651
r_0959,18.881636457134608,19.91421387
r_2115,18.805545785647155,18.75719149
r_2116,0.0,1.157022378
r_0112,0.09985692203533264,0.454391511
r_2034,1.128442623486924,1.45823332
r_1239,0.0,0.790674845
r_4041,0.4147687704690922,0.318
