,GND2_real_flux,GND2_sim_flux
r_0534,15.5,15.5
r_0962,-27.55341866,-25.40380160022186
r_0961,24.21818063,0.8139873465829831
r_0718,0.039476262,0.0
r_2131,0.711584928,0.3555756819349769
r_0713,0.066805982,0.4808291188245338
r_0300,-0.711584928,-0.4808291188245338
r_1022,-0.370469536,-0.0
r_0454,0.107294456,-0.0
r_0366,27.11310651,25.6532777213552
r_1054,-14.31166329,-13.28729745739232
r_0486,27.11310651,26.81197049674878
r_0450,14.31166329,13.291635632648163
r_0452,-0.211552276,-0.17726208160534979
r_0302,0.711584928,0.48082911882455637
r_0892,-27.11310651,-26.81197049674878
r_0893,-27.11310651,-25.6532777213552
r_0889,1.256154901,1.0529237292623934
r_1049,-0.411970221,-0.3443719072292072
r_1048,0.411970221,0.3443719072292072
r_1050,0.31277346,0.2196338466625363
r_0466,1.256154901,1.0529237292623934
r_0467,13.58691961,13.109127243494115
r_0886,14.31166329,13.291635632648163
r_0959,24.21926825,22.839560392435764
r_2115,22.71962215,22.752978476552123
r_2116,1.499646103,0.0
r_0112,0.487406232,0.1136250141449745
r_2034,1.4708495,0.0
r_1239,0.696549405,0.0
r_4041,0.338,0.47195633963931466
