,GND2_maximum,GND2_minimum,GND2_real_flux
r_0534,15.50033039209065,15.499772855408978,15.5
r_0962,-25.404501389909516,-25.403382884163314,-27.55341866
r_0961,0.8143803968654026,0.8135119378905743,24.21818063
r_0718,0.0011681720939448748,0.0,0.039476262
r_2131,0.35674029835078447,0.35148352384985493,0.711584928
r_0713,1000.0,0.47956627906206195,0.066805982
r_0300,-0.481160616766937,-0.48071528113368833,-0.711584928
r_1022,-0.0004542890771753766,-0.0,-0.370469536
r_0454,-7.208981996228639,-0.0,0.107294456
r_0366,25.653975016272774,25.652856510504467,27.11310651
r_1054,-13.28823224049365,-13.28659679953946,-14.31166329
r_0486,26.812925033028133,26.811289592128997,27.11310651
r_0450,13.292570372385297,-0.0004542891434020646,14.31166329
r_0452,-0.17759407247583336,-0.17600227756351283,-0.211552276
r_0302,1000.0,-999.5191756894666,0.711584928
r_0892,-26.812925033033828,-26.811289592174326,-27.11310651
r_0893,-25.653975016299306,-25.652856510612224,-27.11310651
r_0889,1.0550815546619532,1.050175232163182,1.256154901
r_1049,-0.34509124834848826,-0.3434558073091942,-0.411970221
r_1048,0.34509124834848826,-12.949114565185779,0.411970221
r_1050,0.22035443516239905,0.21871899412299145,0.31277346
r_0466,1.05508155462133,1.0501752316046904,1.256154901
r_0467,13.111889120370915,13.106982797513304,13.58691961
r_0886,13.292570372392168,0.0,14.31166329
r_0959,22.840282392127563,22.83841017029181,24.21926825
r_2115,1000.0,0.0,22.71962215
r_2116,0.0007110613223754483,0.0,1.499646103
r_0112,0.11422959675008215,0.11299486213888074,0.487406232
r_2034,1.2840140165956473,0.0,1.4708495
r_1239,0.001258031436399576,0.0,0.696549405
r_4041,0.4719516200759459,0.4719516200759459,0.338
