,GND2_real_flux,GND2_sim_flux
r_0534,15.5,16.252020139289623
r_0962,-27.55341866,-25.787906554772512
r_0961,24.21818063,0.7953724636270506
r_0718,0.039476262,0.09624996936168198
r_2131,0.711584928,0.35884970296620616
r_0713,0.066805982,0.5023364950026052
r_0300,-0.711584928,-0.5023364950026052
r_1022,-0.370469536,-1.0699201697385093e-06
r_0454,0.107294456,-0.0
r_0366,27.11310651,26.003004362575453
r_1054,-14.31166329,-13.798925662793549
r_0486,27.11310651,27.58377951876025
r_0450,14.31166329,13.893046457966756
r_0452,-0.211552276,-0.2508275889874433
r_0302,0.711584928,0.35884970296620616
r_0892,-27.11310651,-27.58377951876025
r_0893,-27.11310651,-26.003004362575453
r_0889,1.256154901,0.26262361554954106
r_1049,-0.411970221,-0.07784065450514652
r_1048,0.411970221,0.16788152951070398
r_1050,0.31277346,-0.02970824939632446
r_0466,1.256154901,0.26262361554954106
r_0467,13.58691961,14.08379943526287
r_0886,14.31166329,13.893046457966756
r_0959,24.21926825,23.23827995027264
r_2115,22.71962215,23.18463003125764
r_2116,1.499646103,0.0
r_0112,0.487406232,0.1301656000795307
r_2034,1.4708495,1.1406148780206191
r_1239,0.696549405,0.0
r_4041,0.338,0.40691980288108587
