,GND2_real_flux,GND2_sim_flux
r_0534,15.5,15.5
r_0962,-27.55341866,-25.40420098220585
r_0961,24.21818063,0.8139792067095462
r_0718,0.039476262,0.0
r_2131,0.711584928,0.35557212617817135
r_0713,0.066805982,0.4808243105333642
r_0300,-0.711584928,-0.4808243105333642
r_1022,-0.370469536,-0.0
r_0454,0.107294456,-0.0
r_0366,27.11310651,25.65367460857799
r_1054,-14.31166329,-13.286596044417854
r_0486,27.11310651,26.811288837043946
r_0450,14.31166329,12.94584217278188
r_0452,-0.211552276,-0.17726030898432954
r_0302,0.711584928,0.35557212617817135
r_0892,-27.11310651,-26.811288837043946
r_0893,-27.11310651,-25.65367460857799
r_0889,1.256154901,1.0550838200247783
r_1049,-0.411970221,-0.3450920035100623
r_1048,0.411970221,0.0
r_1050,0.31277346,0.2203551903239923
r_0466,1.256154901,1.0550838200247783
r_0467,13.58691961,13.106980532221948
r_0886,14.31166329,12.94584217278188
r_0959,24.21926825,22.839985416831727
r_2115,22.71962215,22.753404366767242
r_2116,1.499646103,0.0
r_0112,0.487406232,0.11362387789483723
r_2034,1.4708495,1.2840174145771803
r_1239,0.696549405,0.0
r_4041,0.338,0.47195162007593694
